feature_id,GSM634633,GSM634634,GSM634635,GSM634636,GSM634637,GSM634638,GSM634639,GSM634640,GSM634641,GSM634642,GSM634643,GSM634644,GSM634645,GSM634646,GSM634647,GSM634648,GSM634649,GSM634650,GSM634651,GSM634652,GSM634653,GSM634654,GSM634655,GSM634656,GSM634657,GSM634658,GSM634659,GSM634660,GSM634661,GSM634662,GSM634663,GSM634664,GSM634665,GSM634666,GSM634667,GSM634668,GSM634669,GSM634670,GSM634671,GSM634672,GSM634673,GSM634674,GSM634675,GSM634676,GSM634677,GSM634678,GSM634679,GSM634680,GSM634681,GSM634682,GSM634683,GSM634684,GSM634685,GSM634686,GSM634687,GSM634688,GSM634689,GSM634690,GSM634691,GSM634692,GSM634693,GSM634694,GSM634695,GSM634696,GSM634697,GSM634698,GSM634699,GSM634700,GSM634701,GSM634702,GSM634703,GSM634704,GSM634705,GSM634706,GSM634707,GSM634708,GSM634709,GSM634710,GSM634711,GSM634712,GSM634713,GSM634714,GSM634715,GSM634716,GSM634717,GSM634718,GSM634719,GSM634720,GSM634721,GSM634722,GSM634723,GSM634724,GSM634725
ILMN_1343291,29007.38,36702.54,31866.4,30252.23,34485.77,35896.99,34275.99,35578.2,32756.07,34635.23,30250.53,37374.19,34220.94,34772.75,35723.58,31154.87,34222.12,32625.78,36376.32,36577.39,34989.52,35275.85,35702.14,36505.95,33913.06,31441.44,33641.82,30229.72,35578.2,30223.19,31248.54,31657.21,33501.03,35768.82,32173.43,35628.71,29616.37,34538.71,35636.79,35068.66,34072.38,33146.65,31186.87,28773.71,33550.59,35183.88,31934.75,36702.54,36702.54,34371.58,30927.58,34276.66,33093.42,33857.58,37025.12,34870.41,36195.02,31079.36,35254.21,32500.04,36228.14,31800.49,36744.25,32101.43,31992.95,33818.3,37522.82,34941.24,31761,31934.75,30233.51,36330.37,34371.58,33772.13,32560.54,31558.23,32756.42,34070.79,35207.14,35997.32,33197.04,36124.75,35702.14,31518.05,30543.43,33505.18,33524.21,34927.71,34264.17,32926.02,33211.83,33907.82,33594.46
ILMN_1651209,211.18,194.304,190.308,217.098,202.512,194.082,202.739,212.084,200.673,214.096,214.053,193.196,233.928,197.439,226.036,169.624,226.98,220.314,195.952,205.867,218.336,191.449,202.404,218.49,181.51,182.643,198.631,164.248,245.42,216.627,198.99,190.431,180.053,203.615,207.56,205.263,190.943,209.43,166.103,188.847,238.445,219.514,203.192,227.171,189.074,206.161,221.094,213.868,234.697,207.917,164.572,239.225,209.956,218.594,185.814,206.199,223.892,192.806,179.824,155.7,182.606,182.816,219.514,226.566,207.746,218.542,188.083,218.981,218.981,208.084,170.52,174.182,203.384,167.038,234.951,182.87,194.093,172.19,212.247,233.346,251.972,263.178,204.527,225.941,246.686,187.493,206.184,225.806,189.857,190.163,220.574,226.697,196.913
ILMN_1651228,10123.32,4946.842,9990.731,10382.51,12024.71,6847.088,11771.13,9179.298,16363.69,5490.124,11937.13,8667.297,11798.28,11393.96,7991.11,8873.18,11393.96,13251.68,9102.103,5715.185,9240.182,9866.469,12599.72,7280.275,10829.59,14115.71,13863.92,12057.82,8369.718,12341.74,11080.33,9275.938,9196.921,9196.921,6932.604,11446.25,11052.09,11491.51,11318.8,10590.96,9539.308,10960.02,10324.28,12530.46,7133.26,10701.87,9213.008,12341.74,10849.84,8070.053,9973.537,14206.21,10382.51,12176.79,10488.04,9973.537,7955.86,8465.455,10745.22,11830.6,12234.22,13670.71,9165.666,11318.8,9292.479,12599.72,6233.733,12206.51,12287.72,11080.33,11194.53,9825.01,12372.97,10913.07,11747.51,8921.469,10785.68,8984.056,11798.28,9129.845,6148.897,9825.01,11663.93,11587.65,13076.03,11008.28,15547.38,10241.53,10441.46,8546.378,9579.64,11292.89,12664.63
ILMN_1651229,428.177,385.594,403.804,402.355,414.298,417.282,483.194,408.415,454.091,443.847,382.594,427.381,438.191,477.04,349.888,446.843,409.783,385.673,431.635,407.401,413.303,466.259,440.782,426.195,445.417,414.797,400.661,371.709,393.805,415.288,410.317,480.299,397.262,461.869,373.547,461.091,421.653,357.585,417.718,474.337,409.497,402.627,374.024,366.113,360.168,404.229,415.022,715.642,409.6,484.159,408.938,409.497,433.302,379.167,320.812,336.649,440.691,354.706,431.232,337.777,396.944,385.673,431.051,394.161,470.056,447.223,586.495,380.638,350.738,331.266,349.117,405.695,367.986,428.285,434.304,413.388,435.925,398.796,399.705,448.073,431.232,468.336,417.718,423.063,415.758,389.214,402.457,438.687,374.206,474.337,415.476,355.072,417.479
ILMN_1651237,187.952,166.198,243.277,155.385,162.755,203.132,187.348,176.479,190.549,173.177,186.18,213.11,196.43,187.56,202.102,170.981,182.338,197.768,195.09,189.583,220.802,166.445,205.541,220.975,152.664,193.345,141.473,206.967,232.533,170.981,161.254,168.057,171.81,223.162,189.496,180.864,185.096,159.707,271.545,196.461,182.803,222.637,196.578,183.87,257.355,169.788,172.483,188.347,192.276,214.037,188.058,161.189,145.696,163.921,173.029,174.009,164.099,200.13,224.443,224.632,172.023,181.641,198.096,213.972,179.41,226.25,204.641,194.719,352.764,193.375,179.247,204.347,213.512,223.569,177.784,189.956,206.663,208.245,160.937,160.842,434.683,172.962,194.015,175.838,186.15,181.302,154.467,163.215,189.922,170.315,202.773,174.545,175.519
ILMN_1651254,1713.155,1600.62,2191.778,1731.319,1626.525,2326.295,1649.036,2010.516,1417.924,2059.011,1578.146,2343.568,1865.816,1765.487,2072.073,1835.865,2123.283,1596.927,1982.278,1726.152,2399.359,2153.684,1807.53,2204.39,2237.337,1617.281,1638.936,1947.724,2429.996,1640.188,1673.249,1834.559,2206.87,2296.496,1874.698,1449.969,1783.115,2312.639,1759.932,1832.333,2392.993,1718.718,1887.226,1790.631,1634.933,1802.178,1994.78,2173.639,1651.026,2321.369,1616.701,1764.801,2627.707,1761.981,1811.599,1562.038,1702.736,1730.04,1538.231,1284.175,1511.689,1744.063,2167.218,1728.783,2034.001,1476.629,2008.651,1497.244,1864.302,1763.992,1443.458,2304.764,1798.572,1417.445,1796.406,1627.112,1888.726,2124.157,1560.195,1625.155,2238.336,2427.785,1570.891,1677.041,1547.952,1669.944,1777.296,2132.264,1804.17,2193.683,2023.861,1930.246,1571.477
ILMN_1651260,165.639,164.972,194.268,160.437,160.442,157.359,166.729,166.05,175.893,162.923,184.032,215.81,182.259,163.378,187.347,164.256,175.485,156.124,160.818,160.023,174.962,170.16,190.822,187.058,160.575,194.809,148.561,177.065,180.369,176.412,168.976,149.638,165.031,182.647,156.561,155.302,167.902,164.699,171.466,165.939,165.495,192.563,159.106,167.379,184.759,166.813,165.277,175.943,188.206,169.965,169.835,193.021,191.079,182.079,161.732,161.867,171.489,174.613,167.724,196.959,176.052,170.611,158.891,156.66,175.393,200.393,158.799,174.311,228.61,166.526,154.348,170.127,169.312,170.318,182.185,175.338,166.33,192.242,155.224,154.702,270.005,176.727,171.875,154.232,167.077,178.162,151.98,158.339,158.943,161.476,187.971,164.235,172.57
ILMN_1651262,2917.953,2604.714,3147.324,2894.237,3119.544,2525.261,3090.409,3044.028,2751.56,3120.206,3039.191,2691.708,2933.035,2974.93,2677.151,2928.195,3003.374,2921.189,2641.262,3003.831,2672.723,2736.474,2739.692,2841.175,2911.837,2690.925,3058.613,2523.822,2554.521,2613.375,3007.291,3112.63,2923.163,2426.093,3047.969,3078.512,2886.775,2754.644,3066.358,2805.621,2727.596,2842.378,3151.068,2768.022,3354.364,2809.042,2881.43,2926.423,2880.486,2461.709,2726.207,2767.573,2332.287,2907.594,2579.102,3123.002,3139.025,3074.738,3235.756,3275.171,2505.4,3002.535,2718.301,3082.576,2830.917,2880.111,2993.625,3220.811,3450.844,2623.907,3334.356,2599.704,2916.187,3037.692,2939.274,3015.098,2645.248,2874.479,2615.784,2836.849,3146.979,2882.843,2954.902,2775.759,2903.497,3157.623,2958.625,2522.187,2778.472,2212.282,2587.264,2682.535,3038.33
ILMN_1651268,219.498,234.466,192.621,215.377,201.282,207.008,243.709,209.811,224.142,262.56,222.089,280.716,211.623,248.572,190.759,241.536,220.957,208.805,218.472,248.868,211.393,222.196,233.703,203.432,232.757,244.176,262.044,222.109,230.821,238.524,232.305,205.368,245.447,224.676,229.615,246.774,219.359,252.92,186.722,201.225,240.002,207.391,240.232,192.318,229.049,254.976,193.978,264.32,218.388,252.615,222.848,241.971,179.019,273.132,244.575,208.762,217.46,192.327,267.73,231.286,211.864,226.587,217.113,203.253,218.015,216.301,206.983,229.987,229.77,260.271,208.288,206.443,221.191,209.712,219.647,210.561,208.466,222.13,187.388,239.043,232.098,208.142,219.968,244.774,238.985,227.378,204.423,204.063,226.018,230.161,213.11,222.145,229.454
ILMN_1651278,926.885,662.876,988.621,808.338,1001.943,904.271,897.406,618.219,826.493,814.928,942.147,704.967,1107.899,1005.184,939.631,1011.451,1030.082,909.979,879.48,600.651,736.169,921.862,893.929,1023.909,845.036,847.611,836.441,905.485,841.378,797.153,935.079,768.528,804.993,763.824,751.332,761.246,775.825,1004.566,856.009,873.556,861.513,955.559,822.493,809.505,872.754,802.745,873.304,994.516,961.331,838.297,693.633,697.872,886.123,977.932,733.047,853.773,793.95,835.017,896.096,919.612,906.309,892.242,895.263,771.581,752.182,924.052,624.999,794.615,840.443,743.82,799.428,787.243,882.377,906.009,765.194,813.229,869.047,709.416,946.602,969.973,890.208,893.398,803.19,777.481,768.528,817.074,993.923,873.304,997.152,788.907,902.582,829.181,895.002
