repeat_id,fold_id,split,class_label,Freq
1,1,test,cancer,11
2,1,test,cancer,11
3,1,test,cancer,11
4,1,test,cancer,11
5,1,test,cancer,11
6,1,test,cancer,11
7,1,test,cancer,11
8,1,test,cancer,11
9,1,test,cancer,11
10,1,test,cancer,11
1,2,test,cancer,11
2,2,test,cancer,11
3,2,test,cancer,11
4,2,test,cancer,11
5,2,test,cancer,11
6,2,test,cancer,11
7,2,test,cancer,11
8,2,test,cancer,11
9,2,test,cancer,11
10,2,test,cancer,11
1,3,test,cancer,10
2,3,test,cancer,10
3,3,test,cancer,10
4,3,test,cancer,10
5,3,test,cancer,10
6,3,test,cancer,10
7,3,test,cancer,10
8,3,test,cancer,10
9,3,test,cancer,10
10,3,test,cancer,10
1,4,test,cancer,10
2,4,test,cancer,10
3,4,test,cancer,10
4,4,test,cancer,10
5,4,test,cancer,10
6,4,test,cancer,10
7,4,test,cancer,10
8,4,test,cancer,10
9,4,test,cancer,10
10,4,test,cancer,10
1,5,test,cancer,10
2,5,test,cancer,10
3,5,test,cancer,10
4,5,test,cancer,10
5,5,test,cancer,10
6,5,test,cancer,10
7,5,test,cancer,10
8,5,test,cancer,10
9,5,test,cancer,10
10,5,test,cancer,10
1,6,test,cancer,10
2,6,test,cancer,10
3,6,test,cancer,10
4,6,test,cancer,10
5,6,test,cancer,10
6,6,test,cancer,10
7,6,test,cancer,10
8,6,test,cancer,10
9,6,test,cancer,10
10,6,test,cancer,10
1,7,test,cancer,10
2,7,test,cancer,10
3,7,test,cancer,10
4,7,test,cancer,10
5,7,test,cancer,10
6,7,test,cancer,10
7,7,test,cancer,10
8,7,test,cancer,10
9,7,test,cancer,10
10,7,test,cancer,10
1,8,test,cancer,10
2,8,test,cancer,10
3,8,test,cancer,10
4,8,test,cancer,10
5,8,test,cancer,10
6,8,test,cancer,10
7,8,test,cancer,10
8,8,test,cancer,10
9,8,test,cancer,10
10,8,test,cancer,10
1,9,test,cancer,10
2,9,test,cancer,10
3,9,test,cancer,10
4,9,test,cancer,10
5,9,test,cancer,10
6,9,test,cancer,10
7,9,test,cancer,10
8,9,test,cancer,10
9,9,test,cancer,10
10,9,test,cancer,10
1,10,test,cancer,10
2,10,test,cancer,10
3,10,test,cancer,10
4,10,test,cancer,10
5,10,test,cancer,10
6,10,test,cancer,10
7,10,test,cancer,10
8,10,test,cancer,10
9,10,test,cancer,10
10,10,test,cancer,10
1,1,train,cancer,91
2,1,train,cancer,91
3,1,train,cancer,91
4,1,train,cancer,91
5,1,train,cancer,91
6,1,train,cancer,91
7,1,train,cancer,91
8,1,train,cancer,91
9,1,train,cancer,91
10,1,train,cancer,91
1,2,train,cancer,91
2,2,train,cancer,91
3,2,train,cancer,91
4,2,train,cancer,91
5,2,train,cancer,91
6,2,train,cancer,91
7,2,train,cancer,91
8,2,train,cancer,91
9,2,train,cancer,91
10,2,train,cancer,91
1,3,train,cancer,92
2,3,train,cancer,92
3,3,train,cancer,92
4,3,train,cancer,92
5,3,train,cancer,92
6,3,train,cancer,92
7,3,train,cancer,92
8,3,train,cancer,92
9,3,train,cancer,92
10,3,train,cancer,92
1,4,train,cancer,92
2,4,train,cancer,92
3,4,train,cancer,92
4,4,train,cancer,92
5,4,train,cancer,92
6,4,train,cancer,92
7,4,train,cancer,92
8,4,train,cancer,92
9,4,train,cancer,92
10,4,train,cancer,92
1,5,train,cancer,92
2,5,train,cancer,92
3,5,train,cancer,92
4,5,train,cancer,92
5,5,train,cancer,92
6,5,train,cancer,92
7,5,train,cancer,92
8,5,train,cancer,92
9,5,train,cancer,92
10,5,train,cancer,92
1,6,train,cancer,92
2,6,train,cancer,92
3,6,train,cancer,92
4,6,train,cancer,92
5,6,train,cancer,92
6,6,train,cancer,92
7,6,train,cancer,92
8,6,train,cancer,92
9,6,train,cancer,92
10,6,train,cancer,92
1,7,train,cancer,92
2,7,train,cancer,92
3,7,train,cancer,92
4,7,train,cancer,92
5,7,train,cancer,92
6,7,train,cancer,92
7,7,train,cancer,92
8,7,train,cancer,92
9,7,train,cancer,92
10,7,train,cancer,92
1,8,train,cancer,92
2,8,train,cancer,92
3,8,train,cancer,92
4,8,train,cancer,92
5,8,train,cancer,92
6,8,train,cancer,92
7,8,train,cancer,92
8,8,train,cancer,92
9,8,train,cancer,92
10,8,train,cancer,92
1,9,train,cancer,92
2,9,train,cancer,92
3,9,train,cancer,92
4,9,train,cancer,92
5,9,train,cancer,92
6,9,train,cancer,92
7,9,train,cancer,92
8,9,train,cancer,92
9,9,train,cancer,92
10,9,train,cancer,92
1,10,train,cancer,92
2,10,train,cancer,92
3,10,train,cancer,92
4,10,train,cancer,92
5,10,train,cancer,92
6,10,train,cancer,92
7,10,train,cancer,92
8,10,train,cancer,92
9,10,train,cancer,92
10,10,train,cancer,92
1,1,test,no_cancer,9
2,1,test,no_cancer,9
3,1,test,no_cancer,9
4,1,test,no_cancer,9
5,1,test,no_cancer,9
6,1,test,no_cancer,9
7,1,test,no_cancer,9
8,1,test,no_cancer,9
9,1,test,no_cancer,9
10,1,test,no_cancer,9
1,2,test,no_cancer,9
2,2,test,no_cancer,9
3,2,test,no_cancer,9
4,2,test,no_cancer,9
5,2,test,no_cancer,9
6,2,test,no_cancer,9
7,2,test,no_cancer,9
8,2,test,no_cancer,9
9,2,test,no_cancer,9
10,2,test,no_cancer,9
1,3,test,no_cancer,9
2,3,test,no_cancer,9
3,3,test,no_cancer,9
4,3,test,no_cancer,9
5,3,test,no_cancer,9
6,3,test,no_cancer,9
7,3,test,no_cancer,9
8,3,test,no_cancer,9
9,3,test,no_cancer,9
10,3,test,no_cancer,9
1,4,test,no_cancer,9
2,4,test,no_cancer,9
3,4,test,no_cancer,9
4,4,test,no_cancer,9
5,4,test,no_cancer,9
6,4,test,no_cancer,9
7,4,test,no_cancer,9
8,4,test,no_cancer,9
9,4,test,no_cancer,9
10,4,test,no_cancer,9
1,5,test,no_cancer,9
2,5,test,no_cancer,9
3,5,test,no_cancer,9
4,5,test,no_cancer,9
5,5,test,no_cancer,9
6,5,test,no_cancer,9
7,5,test,no_cancer,9
8,5,test,no_cancer,9
9,5,test,no_cancer,9
10,5,test,no_cancer,9
1,6,test,no_cancer,9
2,6,test,no_cancer,9
3,6,test,no_cancer,9
4,6,test,no_cancer,9
5,6,test,no_cancer,9
6,6,test,no_cancer,9
7,6,test,no_cancer,9
8,6,test,no_cancer,9
9,6,test,no_cancer,9
10,6,test,no_cancer,9
1,7,test,no_cancer,9
2,7,test,no_cancer,9
3,7,test,no_cancer,9
4,7,test,no_cancer,9
5,7,test,no_cancer,9
6,7,test,no_cancer,9
7,7,test,no_cancer,9
8,7,test,no_cancer,9
9,7,test,no_cancer,9
10,7,test,no_cancer,9
1,8,test,no_cancer,9
2,8,test,no_cancer,9
3,8,test,no_cancer,9
4,8,test,no_cancer,9
5,8,test,no_cancer,9
6,8,test,no_cancer,9
7,8,test,no_cancer,9
8,8,test,no_cancer,9
9,8,test,no_cancer,9
10,8,test,no_cancer,9
1,9,test,no_cancer,9
2,9,test,no_cancer,9
3,9,test,no_cancer,9
4,9,test,no_cancer,9
5,9,test,no_cancer,9
6,9,test,no_cancer,9
7,9,test,no_cancer,9
8,9,test,no_cancer,9
9,9,test,no_cancer,9
10,9,test,no_cancer,9
1,10,test,no_cancer,9
2,10,test,no_cancer,9
3,10,test,no_cancer,9
4,10,test,no_cancer,9
5,10,test,no_cancer,9
6,10,test,no_cancer,9
7,10,test,no_cancer,9
8,10,test,no_cancer,9
9,10,test,no_cancer,9
10,10,test,no_cancer,9
1,1,train,no_cancer,81
2,1,train,no_cancer,81
3,1,train,no_cancer,81
4,1,train,no_cancer,81
5,1,train,no_cancer,81
6,1,train,no_cancer,81
7,1,train,no_cancer,81
8,1,train,no_cancer,81
9,1,train,no_cancer,81
10,1,train,no_cancer,81
1,2,train,no_cancer,81
2,2,train,no_cancer,81
3,2,train,no_cancer,81
4,2,train,no_cancer,81
5,2,train,no_cancer,81
6,2,train,no_cancer,81
7,2,train,no_cancer,81
8,2,train,no_cancer,81
9,2,train,no_cancer,81
10,2,train,no_cancer,81
1,3,train,no_cancer,81
2,3,train,no_cancer,81
3,3,train,no_cancer,81
4,3,train,no_cancer,81
5,3,train,no_cancer,81
6,3,train,no_cancer,81
7,3,train,no_cancer,81
8,3,train,no_cancer,81
9,3,train,no_cancer,81
10,3,train,no_cancer,81
1,4,train,no_cancer,81
2,4,train,no_cancer,81
3,4,train,no_cancer,81
4,4,train,no_cancer,81
5,4,train,no_cancer,81
6,4,train,no_cancer,81
7,4,train,no_cancer,81
8,4,train,no_cancer,81
9,4,train,no_cancer,81
10,4,train,no_cancer,81
1,5,train,no_cancer,81
2,5,train,no_cancer,81
3,5,train,no_cancer,81
4,5,train,no_cancer,81
5,5,train,no_cancer,81
6,5,train,no_cancer,81
7,5,train,no_cancer,81
8,5,train,no_cancer,81
9,5,train,no_cancer,81
10,5,train,no_cancer,81
1,6,train,no_cancer,81
2,6,train,no_cancer,81
3,6,train,no_cancer,81
4,6,train,no_cancer,81
5,6,train,no_cancer,81
6,6,train,no_cancer,81
7,6,train,no_cancer,81
8,6,train,no_cancer,81
9,6,train,no_cancer,81
10,6,train,no_cancer,81
1,7,train,no_cancer,81
2,7,train,no_cancer,81
3,7,train,no_cancer,81
4,7,train,no_cancer,81
5,7,train,no_cancer,81
6,7,train,no_cancer,81
7,7,train,no_cancer,81
8,7,train,no_cancer,81
9,7,train,no_cancer,81
10,7,train,no_cancer,81
1,8,train,no_cancer,81
2,8,train,no_cancer,81
3,8,train,no_cancer,81
4,8,train,no_cancer,81
5,8,train,no_cancer,81
6,8,train,no_cancer,81
7,8,train,no_cancer,81
8,8,train,no_cancer,81
9,8,train,no_cancer,81
10,8,train,no_cancer,81
1,9,train,no_cancer,81
2,9,train,no_cancer,81
3,9,train,no_cancer,81
4,9,train,no_cancer,81
5,9,train,no_cancer,81
6,9,train,no_cancer,81
7,9,train,no_cancer,81
8,9,train,no_cancer,81
9,9,train,no_cancer,81
10,9,train,no_cancer,81
1,10,train,no_cancer,81
2,10,train,no_cancer,81
3,10,train,no_cancer,81
4,10,train,no_cancer,81
5,10,train,no_cancer,81
6,10,train,no_cancer,81
7,10,train,no_cancer,81
8,10,train,no_cancer,81
9,10,train,no_cancer,81
10,10,train,no_cancer,81
