repeat_id,fold_id,split,class_label,Freq
1,1,test,no_relapse,10
2,1,test,no_relapse,10
3,1,test,no_relapse,10
4,1,test,no_relapse,10
5,1,test,no_relapse,10
6,1,test,no_relapse,10
7,1,test,no_relapse,10
8,1,test,no_relapse,10
9,1,test,no_relapse,10
10,1,test,no_relapse,10
1,2,test,no_relapse,10
2,2,test,no_relapse,10
3,2,test,no_relapse,10
4,2,test,no_relapse,10
5,2,test,no_relapse,10
6,2,test,no_relapse,10
7,2,test,no_relapse,10
8,2,test,no_relapse,10
9,2,test,no_relapse,10
10,2,test,no_relapse,10
1,3,test,no_relapse,9
2,3,test,no_relapse,9
3,3,test,no_relapse,9
4,3,test,no_relapse,9
5,3,test,no_relapse,9
6,3,test,no_relapse,9
7,3,test,no_relapse,9
8,3,test,no_relapse,9
9,3,test,no_relapse,9
10,3,test,no_relapse,9
1,4,test,no_relapse,9
2,4,test,no_relapse,9
3,4,test,no_relapse,9
4,4,test,no_relapse,9
5,4,test,no_relapse,9
6,4,test,no_relapse,9
7,4,test,no_relapse,9
8,4,test,no_relapse,9
9,4,test,no_relapse,9
10,4,test,no_relapse,9
1,5,test,no_relapse,9
2,5,test,no_relapse,9
3,5,test,no_relapse,9
4,5,test,no_relapse,9
5,5,test,no_relapse,9
6,5,test,no_relapse,9
7,5,test,no_relapse,9
8,5,test,no_relapse,9
9,5,test,no_relapse,9
10,5,test,no_relapse,9
1,6,test,no_relapse,9
2,6,test,no_relapse,9
3,6,test,no_relapse,9
4,6,test,no_relapse,9
5,6,test,no_relapse,9
6,6,test,no_relapse,9
7,6,test,no_relapse,9
8,6,test,no_relapse,9
9,6,test,no_relapse,9
10,6,test,no_relapse,9
1,7,test,no_relapse,9
2,7,test,no_relapse,9
3,7,test,no_relapse,9
4,7,test,no_relapse,9
5,7,test,no_relapse,9
6,7,test,no_relapse,9
7,7,test,no_relapse,9
8,7,test,no_relapse,9
9,7,test,no_relapse,9
10,7,test,no_relapse,9
1,8,test,no_relapse,9
2,8,test,no_relapse,9
3,8,test,no_relapse,9
4,8,test,no_relapse,9
5,8,test,no_relapse,9
6,8,test,no_relapse,9
7,8,test,no_relapse,9
8,8,test,no_relapse,9
9,8,test,no_relapse,9
10,8,test,no_relapse,9
1,9,test,no_relapse,9
2,9,test,no_relapse,9
3,9,test,no_relapse,9
4,9,test,no_relapse,9
5,9,test,no_relapse,9
6,9,test,no_relapse,9
7,9,test,no_relapse,9
8,9,test,no_relapse,9
9,9,test,no_relapse,9
10,9,test,no_relapse,9
1,10,test,no_relapse,9
2,10,test,no_relapse,9
3,10,test,no_relapse,9
4,10,test,no_relapse,9
5,10,test,no_relapse,9
6,10,test,no_relapse,9
7,10,test,no_relapse,9
8,10,test,no_relapse,9
9,10,test,no_relapse,9
10,10,test,no_relapse,9
1,1,train,no_relapse,82
2,1,train,no_relapse,82
3,1,train,no_relapse,82
4,1,train,no_relapse,82
5,1,train,no_relapse,82
6,1,train,no_relapse,82
7,1,train,no_relapse,82
8,1,train,no_relapse,82
9,1,train,no_relapse,82
10,1,train,no_relapse,82
1,2,train,no_relapse,82
2,2,train,no_relapse,82
3,2,train,no_relapse,82
4,2,train,no_relapse,82
5,2,train,no_relapse,82
6,2,train,no_relapse,82
7,2,train,no_relapse,82
8,2,train,no_relapse,82
9,2,train,no_relapse,82
10,2,train,no_relapse,82
1,3,train,no_relapse,83
2,3,train,no_relapse,83
3,3,train,no_relapse,83
4,3,train,no_relapse,83
5,3,train,no_relapse,83
6,3,train,no_relapse,83
7,3,train,no_relapse,83
8,3,train,no_relapse,83
9,3,train,no_relapse,83
10,3,train,no_relapse,83
1,4,train,no_relapse,83
2,4,train,no_relapse,83
3,4,train,no_relapse,83
4,4,train,no_relapse,83
5,4,train,no_relapse,83
6,4,train,no_relapse,83
7,4,train,no_relapse,83
8,4,train,no_relapse,83
9,4,train,no_relapse,83
10,4,train,no_relapse,83
1,5,train,no_relapse,83
2,5,train,no_relapse,83
3,5,train,no_relapse,83
4,5,train,no_relapse,83
5,5,train,no_relapse,83
6,5,train,no_relapse,83
7,5,train,no_relapse,83
8,5,train,no_relapse,83
9,5,train,no_relapse,83
10,5,train,no_relapse,83
1,6,train,no_relapse,83
2,6,train,no_relapse,83
3,6,train,no_relapse,83
4,6,train,no_relapse,83
5,6,train,no_relapse,83
6,6,train,no_relapse,83
7,6,train,no_relapse,83
8,6,train,no_relapse,83
9,6,train,no_relapse,83
10,6,train,no_relapse,83
1,7,train,no_relapse,83
2,7,train,no_relapse,83
3,7,train,no_relapse,83
4,7,train,no_relapse,83
5,7,train,no_relapse,83
6,7,train,no_relapse,83
7,7,train,no_relapse,83
8,7,train,no_relapse,83
9,7,train,no_relapse,83
10,7,train,no_relapse,83
1,8,train,no_relapse,83
2,8,train,no_relapse,83
3,8,train,no_relapse,83
4,8,train,no_relapse,83
5,8,train,no_relapse,83
6,8,train,no_relapse,83
7,8,train,no_relapse,83
8,8,train,no_relapse,83
9,8,train,no_relapse,83
10,8,train,no_relapse,83
1,9,train,no_relapse,83
2,9,train,no_relapse,83
3,9,train,no_relapse,83
4,9,train,no_relapse,83
5,9,train,no_relapse,83
6,9,train,no_relapse,83
7,9,train,no_relapse,83
8,9,train,no_relapse,83
9,9,train,no_relapse,83
10,9,train,no_relapse,83
1,10,train,no_relapse,83
2,10,train,no_relapse,83
3,10,train,no_relapse,83
4,10,train,no_relapse,83
5,10,train,no_relapse,83
6,10,train,no_relapse,83
7,10,train,no_relapse,83
8,10,train,no_relapse,83
9,10,train,no_relapse,83
10,10,train,no_relapse,83
1,1,test,relapse,4
2,1,test,relapse,4
3,1,test,relapse,4
4,1,test,relapse,4
5,1,test,relapse,4
6,1,test,relapse,4
7,1,test,relapse,4
8,1,test,relapse,4
9,1,test,relapse,4
10,1,test,relapse,4
1,2,test,relapse,4
2,2,test,relapse,4
3,2,test,relapse,4
4,2,test,relapse,4
5,2,test,relapse,4
6,2,test,relapse,4
7,2,test,relapse,4
8,2,test,relapse,4
9,2,test,relapse,4
10,2,test,relapse,4
1,3,test,relapse,4
2,3,test,relapse,4
3,3,test,relapse,4
4,3,test,relapse,4
5,3,test,relapse,4
6,3,test,relapse,4
7,3,test,relapse,4
8,3,test,relapse,4
9,3,test,relapse,4
10,3,test,relapse,4
1,4,test,relapse,4
2,4,test,relapse,4
3,4,test,relapse,4
4,4,test,relapse,4
5,4,test,relapse,4
6,4,test,relapse,4
7,4,test,relapse,4
8,4,test,relapse,4
9,4,test,relapse,4
10,4,test,relapse,4
1,5,test,relapse,4
2,5,test,relapse,4
3,5,test,relapse,4
4,5,test,relapse,4
5,5,test,relapse,4
6,5,test,relapse,4
7,5,test,relapse,4
8,5,test,relapse,4
9,5,test,relapse,4
10,5,test,relapse,4
1,6,test,relapse,4
2,6,test,relapse,4
3,6,test,relapse,4
4,6,test,relapse,4
5,6,test,relapse,4
6,6,test,relapse,4
7,6,test,relapse,4
8,6,test,relapse,4
9,6,test,relapse,4
10,6,test,relapse,4
1,7,test,relapse,4
2,7,test,relapse,4
3,7,test,relapse,4
4,7,test,relapse,4
5,7,test,relapse,4
6,7,test,relapse,4
7,7,test,relapse,4
8,7,test,relapse,4
9,7,test,relapse,4
10,7,test,relapse,4
1,8,test,relapse,4
2,8,test,relapse,4
3,8,test,relapse,4
4,8,test,relapse,4
5,8,test,relapse,4
6,8,test,relapse,4
7,8,test,relapse,4
8,8,test,relapse,4
9,8,test,relapse,4
10,8,test,relapse,4
1,9,test,relapse,3
2,9,test,relapse,3
3,9,test,relapse,3
4,9,test,relapse,3
5,9,test,relapse,3
6,9,test,relapse,3
7,9,test,relapse,3
8,9,test,relapse,3
9,9,test,relapse,3
10,9,test,relapse,3
1,10,test,relapse,3
2,10,test,relapse,3
3,10,test,relapse,3
4,10,test,relapse,3
5,10,test,relapse,3
6,10,test,relapse,3
7,10,test,relapse,3
8,10,test,relapse,3
9,10,test,relapse,3
10,10,test,relapse,3
1,1,train,relapse,34
2,1,train,relapse,34
3,1,train,relapse,34
4,1,train,relapse,34
5,1,train,relapse,34
6,1,train,relapse,34
7,1,train,relapse,34
8,1,train,relapse,34
9,1,train,relapse,34
10,1,train,relapse,34
1,2,train,relapse,34
2,2,train,relapse,34
3,2,train,relapse,34
4,2,train,relapse,34
5,2,train,relapse,34
6,2,train,relapse,34
7,2,train,relapse,34
8,2,train,relapse,34
9,2,train,relapse,34
10,2,train,relapse,34
1,3,train,relapse,34
2,3,train,relapse,34
3,3,train,relapse,34
4,3,train,relapse,34
5,3,train,relapse,34
6,3,train,relapse,34
7,3,train,relapse,34
8,3,train,relapse,34
9,3,train,relapse,34
10,3,train,relapse,34
1,4,train,relapse,34
2,4,train,relapse,34
3,4,train,relapse,34
4,4,train,relapse,34
5,4,train,relapse,34
6,4,train,relapse,34
7,4,train,relapse,34
8,4,train,relapse,34
9,4,train,relapse,34
10,4,train,relapse,34
1,5,train,relapse,34
2,5,train,relapse,34
3,5,train,relapse,34
4,5,train,relapse,34
5,5,train,relapse,34
6,5,train,relapse,34
7,5,train,relapse,34
8,5,train,relapse,34
9,5,train,relapse,34
10,5,train,relapse,34
1,6,train,relapse,34
2,6,train,relapse,34
3,6,train,relapse,34
4,6,train,relapse,34
5,6,train,relapse,34
6,6,train,relapse,34
7,6,train,relapse,34
8,6,train,relapse,34
9,6,train,relapse,34
10,6,train,relapse,34
1,7,train,relapse,34
2,7,train,relapse,34
3,7,train,relapse,34
4,7,train,relapse,34
5,7,train,relapse,34
6,7,train,relapse,34
7,7,train,relapse,34
8,7,train,relapse,34
9,7,train,relapse,34
10,7,train,relapse,34
1,8,train,relapse,34
2,8,train,relapse,34
3,8,train,relapse,34
4,8,train,relapse,34
5,8,train,relapse,34
6,8,train,relapse,34
