dataset_id,sample_id,class_label,repeat_id,fold_id,split
GDS2771,GSM93997,no_cancer,1,1,train
GDS2771,GSM94078,no_cancer,1,1,train
GDS2771,GSM94079,no_cancer,1,1,train
GDS2771,GSM94080,no_cancer,1,1,train
GDS2771,GSM94081,no_cancer,1,1,train
GDS2771,GSM94082,no_cancer,1,1,train
GDS2771,GSM94083,no_cancer,1,1,train
GDS2771,GSM94084,no_cancer,1,1,train
GDS2771,GSM94085,no_cancer,1,1,train
GDS2771,GSM94086,no_cancer,1,1,train
GDS2771,GSM94087,no_cancer,1,1,train
GDS2771,GSM94088,no_cancer,1,1,train
GDS2771,GSM94089,no_cancer,1,1,train
GDS2771,GSM94090,no_cancer,1,1,train
GDS2771,GSM94091,no_cancer,1,1,train
GDS2771,GSM94093,no_cancer,1,1,train
GDS2771,GSM94094,no_cancer,1,1,train
GDS2771,GSM94095,no_cancer,1,1,train
GDS2771,GSM94096,no_cancer,1,1,train
GDS2771,GSM94097,no_cancer,1,1,train
GDS2771,GSM94098,no_cancer,1,1,train
GDS2771,GSM94100,no_cancer,1,1,train
GDS2771,GSM94101,no_cancer,1,1,train
GDS2771,GSM94102,no_cancer,1,1,train
GDS2771,GSM94103,no_cancer,1,1,train
GDS2771,GSM94104,no_cancer,1,1,train
GDS2771,GSM94105,no_cancer,1,1,train
GDS2771,GSM94106,no_cancer,1,1,train
GDS2771,GSM94108,no_cancer,1,1,train
GDS2771,GSM94109,no_cancer,1,1,train
GDS2771,GSM94110,no_cancer,1,1,train
GDS2771,GSM94112,no_cancer,1,1,train
GDS2771,GSM94113,no_cancer,1,1,train
GDS2771,GSM94114,no_cancer,1,1,train
GDS2771,GSM94115,no_cancer,1,1,train
GDS2771,GSM94116,no_cancer,1,1,train
GDS2771,GSM94117,no_cancer,1,1,train
GDS2771,GSM94124,no_cancer,1,1,train
GDS2771,GSM94125,no_cancer,1,1,train
GDS2771,GSM94126,no_cancer,1,1,train
GDS2771,GSM94127,no_cancer,1,1,train
GDS2771,GSM94128,no_cancer,1,1,train
GDS2771,GSM94129,no_cancer,1,1,train
GDS2771,GSM94130,no_cancer,1,1,train
GDS2771,GSM94131,no_cancer,1,1,train
GDS2771,GSM94132,no_cancer,1,1,train
GDS2771,GSM94133,no_cancer,1,1,train
GDS2771,GSM94134,no_cancer,1,1,train
GDS2771,GSM94135,no_cancer,1,1,train
GDS2771,GSM94136,no_cancer,1,1,train
GDS2771,GSM94137,no_cancer,1,1,train
GDS2771,GSM94138,no_cancer,1,1,train
GDS2771,GSM94139,no_cancer,1,1,train
GDS2771,GSM94141,no_cancer,1,1,train
GDS2771,GSM94142,no_cancer,1,1,train
GDS2771,GSM94143,no_cancer,1,1,train
GDS2771,GSM94144,no_cancer,1,1,train
GDS2771,GSM94145,no_cancer,1,1,train
GDS2771,GSM94147,no_cancer,1,1,train
GDS2771,GSM94148,no_cancer,1,1,train
GDS2771,GSM98785,no_cancer,1,1,train
