dataset_id,sample_id,class_label,repeat_id,fold_id,split
GSE25837,GSM634633,not_lonely,1,1,train
GSE25837,GSM634634,not_lonely,1,1,train
GSE25837,GSM634635,not_lonely,1,1,train
GSE25837,GSM634636,not_lonely,1,1,train
GSE25837,GSM634637,not_lonely,1,1,train
GSE25837,GSM634638,not_lonely,1,1,train
GSE25837,GSM634639,not_lonely,1,1,train
GSE25837,GSM634640,not_lonely,1,1,train
GSE25837,GSM634642,not_lonely,1,1,train
GSE25837,GSM634643,lonely,1,1,train
GSE25837,GSM634644,not_lonely,1,1,train
GSE25837,GSM634646,not_lonely,1,1,train
GSE25837,GSM634647,not_lonely,1,1,train
GSE25837,GSM634648,lonely,1,1,train
GSE25837,GSM634649,lonely,1,1,train
GSE25837,GSM634650,lonely,1,1,train
GSE25837,GSM634651,not_lonely,1,1,train
GSE25837,GSM634652,not_lonely,1,1,train
GSE25837,GSM634654,not_lonely,1,1,train
GSE25837,GSM634656,not_lonely,1,1,train
GSE25837,GSM634659,lonely,1,1,train
GSE25837,GSM634660,not_lonely,1,1,train
GSE25837,GSM634661,not_lonely,1,1,train
GSE25837,GSM634662,not_lonely,1,1,train
GSE25837,GSM634663,not_lonely,1,1,train
GSE25837,GSM634664,not_lonely,1,1,train
GSE25837,GSM634665,not_lonely,1,1,train
GSE25837,GSM634666,lonely,1,1,train
GSE25837,GSM634668,not_lonely,1,1,train
GSE25837,GSM634669,lonely,1,1,train
GSE25837,GSM634670,lonely,1,1,train
GSE25837,GSM634671,not_lonely,1,1,train
GSE25837,GSM634672,not_lonely,1,1,train
GSE25837,GSM634675,not_lonely,1,1,train
GSE25837,GSM634676,not_lonely,1,1,train
GSE25837,GSM634677,not_lonely,1,1,train
GSE25837,GSM634678,not_lonely,1,1,train
GSE25837,GSM634679,lonely,1,1,train
GSE25837,GSM634683,not_lonely,1,1,train
GSE25837,GSM634684,not_lonely,1,1,train
GSE25837,GSM634685,not_lonely,1,1,train
GSE25837,GSM634686,not_lonely,1,1,train
GSE25837,GSM634687,not_lonely,1,1,train
GSE25837,GSM634688,lonely,1,1,train
GSE25837,GSM634689,not_lonely,1,1,train
GSE25837,GSM634690,lonely,1,1,train
GSE25837,GSM634691,not_lonely,1,1,train
GSE25837,GSM634692,not_lonely,1,1,train
GSE25837,GSM634694,lonely,1,1,train
GSE25837,GSM634695,not_lonely,1,1,train
GSE25837,GSM634696,not_lonely,1,1,train
GSE25837,GSM634698,lonely,1,1,train
GSE25837,GSM634699,not_lonely,1,1,train
GSE25837,GSM634700,not_lonely,1,1,train
GSE25837,GSM634701,not_lonely,1,1,train
GSE25837,GSM634702,not_lonely,1,1,train
GSE25837,GSM634703,not_lonely,1,1,train
GSE25837,GSM634705,lonely,1,1,train
