dataset_id,sample_id,class_label,repeat_id,fold_id,split
GSE10072,GSM254625,tumor,1,1,train
GSE10072,GSM254626,normal,1,1,train
GSE10072,GSM254628,normal,1,1,train
GSE10072,GSM254629,tumor,1,1,train
GSE10072,GSM254630,tumor,1,1,train
GSE10072,GSM254632,normal,1,1,train
GSE10072,GSM254633,tumor,1,1,train
GSE10072,GSM254634,normal,1,1,train
GSE10072,GSM254635,normal,1,1,train
GSE10072,GSM254636,tumor,1,1,train
GSE10072,GSM254637,tumor,1,1,train
GSE10072,GSM254638,normal,1,1,train
GSE10072,GSM254639,tumor,1,1,train
GSE10072,GSM254640,normal,1,1,train
GSE10072,GSM254643,normal,1,1,train
GSE10072,GSM254645,tumor,1,1,train
GSE10072,GSM254646,normal,1,1,train
GSE10072,GSM254647,tumor,1,1,train
GSE10072,GSM254648,tumor,1,1,train
GSE10072,GSM254649,normal,1,1,train
GSE10072,GSM254650,tumor,1,1,train
GSE10072,GSM254651,normal,1,1,train
GSE10072,GSM254652,tumor,1,1,train
GSE10072,GSM254653,normal,1,1,train
GSE10072,GSM254654,tumor,1,1,train
GSE10072,GSM254655,normal,1,1,train
GSE10072,GSM254656,tumor,1,1,train
GSE10072,GSM254658,normal,1,1,train
GSE10072,GSM254659,tumor,1,1,train
GSE10072,GSM254660,normal,1,1,train
GSE10072,GSM254661,tumor,1,1,train
GSE10072,GSM254662,normal,1,1,train
GSE10072,GSM254663,tumor,1,1,train
GSE10072,GSM254664,tumor,1,1,train
GSE10072,GSM254665,normal,1,1,train
GSE10072,GSM254666,tumor,1,1,train
GSE10072,GSM254668,tumor,1,1,train
GSE10072,GSM254669,normal,1,1,train
GSE10072,GSM254670,tumor,1,1,train
GSE10072,GSM254673,normal,1,1,train
GSE10072,GSM254675,tumor,1,1,train
GSE10072,GSM254677,normal,1,1,train
GSE10072,GSM254678,tumor,1,1,train
GSE10072,GSM254679,normal,1,1,train
GSE10072,GSM254680,tumor,1,1,train
GSE10072,GSM254682,tumor,1,1,train
GSE10072,GSM254683,normal,1,1,train
GSE10072,GSM254684,tumor,1,1,train
GSE10072,GSM254685,normal,1,1,train
GSE10072,GSM254686,tumor,1,1,train
GSE10072,GSM254688,tumor,1,1,train
GSE10072,GSM254689,normal,1,1,train
GSE10072,GSM254690,tumor,1,1,train
GSE10072,GSM254691,normal,1,1,train
GSE10072,GSM254693,normal,1,1,train
GSE10072,GSM254694,tumor,1,1,train
GSE10072,GSM254696,tumor,1,1,train
GSE10072,GSM254697,tumor,1,1,train
GSE10072,GSM254698,tumor,1,1,train
GSE10072,GSM254700,tumor,1,1,train
GSE10072,GSM254701,tumor,1,1,train
GSE10072,GSM254702,normal,1,1,train
GSE10072,GSM254704,tumor,1,1,train
GSE10072,GSM254705,tumor,1,1,train
GSE10072,GSM254708,normal,1,1,train
GSE10072,GSM254709,tumor,1,1,train
GSE10072,GSM254710,normal,1,1,train
GSE10072,GSM254711,normal,1,1,train
GSE10072,GSM254713,normal,1,1,train
GSE10072,GSM254714,tumor,1,1,train
GSE10072,GSM254715,normal,1,1,train
GSE10072,GSM254716,tumor,1,1,train
GSE10072,GSM254717,normal,1,1,train
GSE10072,GSM254718,tumor,1,1,train
GSE10072,GSM254719,normal,1,1,train
GSE10072,GSM254720,tumor,1,1,train
GSE10072,GSM254721,tumor,1,1,train
GSE10072,GSM254723,normal,1,1,train
GSE10072,GSM254725,normal,1,1,train
GSE10072,GSM254726,tumor,1,1,train
GSE10072,GSM254727,normal,1,1,train
GSE10072,GSM254728,tumor,1,1,train
GSE10072,GSM254729,tumor,1,1,train
GSE10072,GSM254730,normal,1,1,train
GSE10072,GSM254731,normal,1,1,train
GSE10072,GSM254627,tumor,1,1,test
GSE10072,GSM254631,tumor,1,1,test
GSE10072,GSM254641,tumor,1,1,test
GSE10072,GSM254642,tumor,1,1,test
GSE10072,GSM254644,normal,1,1,test
GSE10072,GSM254657,tumor,1,1,test
GSE10072,GSM254667,normal,1,1,test
GSE10072,GSM254671,normal,1,1,test
GSE10072,GSM254672,tumor,1,1,test
GSE10072,GSM254674,tumor,1,1,test
GSE10072,GSM254676,normal,1,1,test
GSE10072,GSM254681,normal,1,1,test
GSE10072,GSM254687,tumor,1,1,test
GSE10072,GSM254692,tumor,1,1,test
GSE10072,GSM254695,normal,1,1,test
GSE10072,GSM254699,normal,1,1,test
GSE10072,GSM254703,normal,1,1,test
GSE10072,GSM254706,normal,1,1,test
GSE10072,GSM254707,tumor,1,1,test
GSE10072,GSM254712,normal,1,1,test
GSE10072,GSM254722,tumor,1,1,test
GSE10072,GSM254724,tumor,1,1,test
GSE10072,GSM254626,normal,1,2,train
GSE10072,GSM254627,tumor,1,2,train
