dataset_id,column_name,n_samples,n_missing,n_unique,top_values,metadata_type
GSE17920,sample_id,130,0,130,GSM447610 [n=1] || GSM447611 [n=1] || GSM447612 [n=1] || GSM447613 [n=1] || GSM447614 [n=1] || GSM447615 [n=1] || GSM447616 [n=1] || GSM447617 [n=1] || GSM447618 [n=1] || GSM447619 [n=1] || GSM447620 [n=1] || GSM447621 [n=1] || GSM447622 [n=1] || GSM447623 [n=1] || GSM447624 [n=1] || GSM447625 [n=1] || GSM447626 [n=1] || GSM447627 [n=1] || GSM447628 [n=1] || GSM447629 [n=1],GSE_sample_metadata
GSE17920,title,130,0,130,"class F, rep1 [n=1] || class F, rep10 [n=1] || class F, rep11 [n=1] || class F, rep12 [n=1] || class F, rep13 [n=1] || class F, rep14 [n=1] || class F, rep15 [n=1] || class F, rep16 [n=1] || class F, rep17 [n=1] || class F, rep18 [n=1] || class F, rep19 [n=1] || class F, rep2 [n=1] || class F, rep20 [n=1] || class F, rep21 [n=1] || class F, rep22 [n=1] || class F, rep23 [n=1] || class F, rep24 [n=1] || class F, rep25 [n=1] || class F, rep26 [n=1] || class F, rep27 [n=1]",GSE_sample_metadata
GSE17920,geo_accession,130,0,130,GSM447610 [n=1] || GSM447611 [n=1] || GSM447612 [n=1] || GSM447613 [n=1] || GSM447614 [n=1] || GSM447615 [n=1] || GSM447616 [n=1] || GSM447617 [n=1] || GSM447618 [n=1] || GSM447619 [n=1] || GSM447620 [n=1] || GSM447621 [n=1] || GSM447622 [n=1] || GSM447623 [n=1] || GSM447624 [n=1] || GSM447625 [n=1] || GSM447626 [n=1] || GSM447627 [n=1] || GSM447628 [n=1] || GSM447629 [n=1],GSE_sample_metadata
GSE17920,status,130,0,1,Public on Mar 01 2010 [n=130],GSE_sample_metadata
GSE17920,submission_date,130,0,1,Sep 01 2009 [n=130],GSE_sample_metadata
GSE17920,last_update_date,130,0,1,Feb 16 2010 [n=130],GSE_sample_metadata
GSE17920,type,130,0,1,RNA [n=130],GSE_sample_metadata
GSE17920,channel_count,130,0,1,1 [n=130],GSE_sample_metadata
GSE17920,source_name_ch1,130,0,2,Vancouver sample [n=100] || Nebraska sample [n=30],GSE_sample_metadata
GSE17920,organism_ch1,130,0,1,Homo sapiens [n=130],GSE_sample_metadata
GSE17920,characteristics_ch1,130,0,1,tissue type: lymphoma [n=130],GSE_sample_metadata
GSE17920,characteristics_ch1.1,130,0,1,disease status: chronic Hodgkin lymphoma [n=130],GSE_sample_metadata
GSE17920,characteristics_ch1.2,130,0,4,relapse type: _ [n=92] || relapse type: LATE [n=19] || relapse type: REFRACTORY [n=10] || relapse type: EARLY [n=9],GSE_sample_metadata
GSE17920,characteristics_ch1.3,130,0,56,age (years): 27 [n=6] || age (years): 24 [n=5] || age (years): 34 [n=5] || age (years): 38 [n=5] || age (years): 20 [n=4] || age (years): 23 [n=4] || age (years): 25 [n=4] || age (years): 32 [n=4] || age (years): 36 [n=4] || age (years): 52 [n=4] || age (years): 16 [n=3] || age (years): 17 [n=3] || age (years): 21 [n=3] || age (years): 22 [n=3] || age (years): 31 [n=3] || age (years): 37 [n=3] || age (years): 39 [n=3] || age (years): 42 [n=3] || age (years): 47 [n=3] || age (years): 49 [n=3],GSE_sample_metadata
GSE17920,characteristics_ch1.4,130,0,3,sex: M [n=73] || sex: F [n=56] || sex: f [n=1],GSE_sample_metadata
GSE17920,characteristics_ch1.5,130,0,4,disease stage: 2 [n=67] || disease stage: 3 [n=29] || disease stage: 4 [n=18] || disease stage: 1 [n=16],GSE_sample_metadata
GSE17920,characteristics_ch1.6,130,0,29,albumin level: _ [n=29] || albumin level: 41 [n=10] || albumin level: 38 [n=9] || albumin level: 36 [n=7] || albumin level: 37 [n=6] || albumin level: 45 [n=6] || albumin level: 48 [n=6] || albumin level: 39 [n=5] || albumin level: 42 [n=5] || albumin level: 43 [n=5] || albumin level: 47 [n=5] || albumin level: 34 [n=4] || albumin level: 40 [n=4] || albumin level: 44 [n=4] || albumin level: 0 [n=3] || albumin level: 46 [n=3] || albumin level: 26 [n=2] || albumin level: 27 [n=2] || albumin level: 29 [n=2] || albumin level: 32 [n=2],GSE_sample_metadata
GSE17920,characteristics_ch1.7,130,0,64,hemoglobin level: _ [n=7] || hemoglobin level: 123 [n=5] || hemoglobin level: 124 [n=5] || hemoglobin level: 129 [n=5] || hemoglobin level: 130 [n=4] || hemoglobin level: 95 [n=4] || hemoglobin level: 110 [n=3] || hemoglobin level: 113 [n=3] || hemoglobin level: 114 [n=3] || hemoglobin level: 118 [n=3] || hemoglobin level: 122 [n=3] || hemoglobin level: 126 [n=3] || hemoglobin level: 134 [n=3] || hemoglobin level: 138 [n=3] || hemoglobin level: 139 [n=3] || hemoglobin level: 141 [n=3] || hemoglobin level: 145 [n=3] || hemoglobin level: 148 [n=3] || hemoglobin level: 156 [n=3] || hemoglobin level: 77 [n=3],GSE_sample_metadata
GSE17920,characteristics_ch1.8,130,0,39,lymphocyte percentage: 17 [n=10] || lymphocyte percentage: 18 [n=9] || lymphocyte percentage: 10 [n=7] || lymphocyte percentage: 12 [n=6] || lymphocyte percentage: 16 [n=6] || lymphocyte percentage: 20 [n=6] || lymphocyte percentage: 23 [n=6] || lymphocyte percentage: 7 [n=6] || lymphocyte percentage: 9 [n=6] || lymphocyte percentage: _ [n=5] || lymphocyte percentage: 21 [n=5] || lymphocyte percentage: 6 [n=5] || lymphocyte percentage: 100 [n=4] || lymphocyte percentage: 11 [n=4] || lymphocyte percentage: 13 [n=4] || lymphocyte percentage: 15 [n=4] || lymphocyte percentage: 19 [n=3] || lymphocyte percentage: 2 [n=3] || lymphocyte percentage: 35 [n=3] || lymphocyte percentage: 14 [n=2],GSE_sample_metadata
GSE17920,characteristics_ch1.9,130,0,78,white blood count: _ [n=7] || white blood count: 10.8 [n=6] || white blood count: 7.1 [n=4] || white blood count: 9.5 [n=4] || white blood count: 9.8 [n=4] || white blood count: 9.9 [n=4] || white blood count: 10 [n=3] || white blood count: 6.8 [n=3] || white blood count: 7.6 [n=3] || white blood count: 8.2 [n=3] || white blood count: 1.4 [n=2] || white blood count: 10.4 [n=2] || white blood count: 10.5 [n=2] || white blood count: 11.2 [n=2] || white blood count: 11.7 [n=2] || white blood count: 12 [n=2] || white blood count: 12.2 [n=2] || white blood count: 13.5 [n=2] || white blood count: 5.6 [n=2] || white blood count: 5.9 [n=2],GSE_sample_metadata
