dataset_id,column_name,n_samples,n_missing,n_unique,top_values,metadata_type
GSE25837,title,93,0,93,Lonely 5392306004_C [n=1] || Lonely 5392306004_E [n=1] || Lonely 5392306004_H [n=1] || Lonely 5392306037_A [n=1] || Lonely 5392306037_E [n=1] || Lonely 5392306044_A [n=1] || Lonely 5392306056_A [n=1] || Lonely 5392306056_B [n=1] || Lonely 5392306056_D [n=1] || Lonely 5392306059_H [n=1] || Lonely 5412581001_B [n=1] || Lonely 5412581001_D [n=1] || Lonely 5412581001_G [n=1] || Lonely 5412581020_B [n=1] || Lonely 5412581020_C [n=1],GSE_sample_metadata
GSE25837,source_name_ch1,93,0,1,Peripheral blood mononuclear cells [n=93],GSE_sample_metadata
GSE25837,characteristics_ch1,93,0,2,lonely: 0 [n=70] || lonely: 1 [n=23],GSE_sample_metadata
GSE25837,characteristics_ch1.1,93,0,18,age: 58 [n=10] || age: 53 [n=9] || age: 55 [n=9] || age: 64 [n=7] || age: 51 [n=6] || age: 52 [n=6] || age: 57 [n=6] || age: 65 [n=6] || age: 56 [n=5] || age: 59 [n=5] || age: 50 [n=4] || age: 60 [n=4] || age: 61 [n=4] || age: 63 [n=4] || age: 54 [n=3],GSE_sample_metadata
GSE25837,characteristics_ch1.2,93,0,2,female: 1 [n=51] || female: 0 [n=42],GSE_sample_metadata
GSE25837,characteristics_ch1.3,93,0,2,black: 0 [n=60] || black: 1 [n=33],GSE_sample_metadata
GSE25837,characteristics_ch1.4,93,0,2,hispanic: 0 [n=69] || hispanic: 1 [n=24],GSE_sample_metadata
GSE25837,characteristics_ch1.5,93,0,2,married: 1 [n=59] || married: 0 [n=34],GSE_sample_metadata
GSE25837,characteristics_ch1.6,93,0,15,logincome: 11.04292184 [n=19] || logincome: 11.37939407 [n=18] || logincome: 10.71441777 [n=17] || logincome: 11.91839057 [n=10] || logincome: 10.1266311 [n=7] || logincome: 10.46310334 [n=7] || logincome: 9.433483923 [n=4] || logincome: 9.76995616 [n=3] || logincome: 12.54472821 [n=2] || logincome: 10.76238493 [n=1] || logincome: 10.81040449 [n=1] || logincome: 11.13792263 [n=1] || logincome: 11.20428513 [n=1] || logincome: 6.951772164 [n=1] || logincome: 8.740336743 [n=1],GSE_sample_metadata
GSE25837,characteristics_ch1.7,93,0,90,bmi: missing [n=3] || bmi: 32.44426346 [n=2] || bmi: 20.90592384 [n=1] || bmi: 21.44435501 [n=1] || bmi: 21.79711914 [n=1] || bmi: 22.67170525 [n=1] || bmi: 22.8156662 [n=1] || bmi: 23.44790459 [n=1] || bmi: 23.64735985 [n=1] || bmi: 23.85668945 [n=1] || bmi: 24.2960186 [n=1] || bmi: 24.43084335 [n=1] || bmi: 24.58662415 [n=1] || bmi: 24.61083412 [n=1] || bmi: 24.65889549 [n=1],GSE_sample_metadata
