path,size_bytes,sha256
data/final/GDS2771/X_features_x_samples.csv,33908001,8c6b4cb8c581b5d2a11c99267b689a4abca73d5240bfca7ac62f038e9a40ae55
data/final/GDS2771/y.csv,9869,f8574a8f897ef1e94826b8ff3eeeba5e437ade4b7f52f89379f712e6ba761caa
data/final/GSE10072/X_features_x_samples.csv,28591087,9c7444c6034edc53747c7134ea285b1005b5fd0437af984983ad9abbf6db656d
data/final/GSE10072/y.csv,6685,ca8a60f25ddf0c8543095dee1ba3add519835757d1ee11634bc7026e2a359b95
data/final/GSE17920/X_features_x_samples.csv,49618513,70db0088017ee66632dda6cc0312f390123a34556d223389edea39847c6c5043
data/final/GSE17920/y.csv,6772,5659d11ecdcf6b301d5eb4348a2d0b99d56cd33021216e0e72a7792840c1615f
data/final/GSE19804/X_features_x_samples.csv,52349572,bcc56820d8b01e22076ec6797c711fa16c0efa5c9fcb996379c3bcc408bedacf
data/final/GSE19804/y.csv,6793,9df958767d81f28facc631fd375e18f0d8b0887ba57254e87ad36203d5f4cdd5
data/final/GSE25837/X_features_x_samples.csv,14261673,b22443cd081b1d09d0d761e69f95ca4c0b6e45464b0e3fdb14b5d1cc80ae48c3
data/final/GSE25837/y.csv,5375,9f324d10315800cdb65da4e83c2cb4ab1a8ff90c568a3569f571de5400f8f6ff
data/final/GSE27272/X_features_x_samples.csv,53675836,4310a665c221a1589e3a61b74c1cb1d849f0aa6f0a56c50737668f876af59758
data/final/GSE27272/y.csv,10430,978606c53d0c00b8f5c618ac3280aeabdebbbb7c6211897454115cccdb596f51
data/final/GSE3365/X_features_x_samples.csv,28337609,300c20a06516b7bf1cfa24eda9156fac6f8cfbfc69f0301c543d50910ff4df9d
data/final/GSE3365/y.csv,8408,6902874129664b0ba768f2b6e6824fc9c81d429dbea6c29647efbcd6f8295bb9
data/final/GSE6613/X_features_x_samples.csv,11817487,bdf56815748d14c20d750939dcd3f6c6fa92c122554b69e5a4c54b818b4eb5ec
data/final/GSE6613/y.csv,7102,fba053b1c44b32b499aa60de210a910453e5b69802150be696dbf5a67e1b7c3b
data/folds/cv_10x10__GDS2771.csv,681777,ce61aab84be46e9ddf03b32953a0b9b8a89753101581fbff9fd4bc9a926e07fe
data/folds/cv_10x10__GDS2771__balance_check.csv,8421,2261bc2c4b3ef367e35b3b31221d1f999d034ad69c69b215fe069f96f6a63279
data/folds/cv_10x10__GSE10072.csv,380527,f2e9b5c480b587b406b052490687408798ef74ee987562a82e571ee7189ab628
data/folds/cv_10x10__GSE10072__balance_check.csv,7521,0fe3ee0b7cbdb3188fb0aea6e6e565e9b4b040f5885aab6e8af63ccae70829c7
data/folds/cv_10x10__GSE17920.csv,509957,cf0c2fe6d43893e3b7985617632866c7b414899d3210117bdcf42070ef0dca15
data/folds/cv_10x10__GSE17920__balance_check.csv,8741,9252da549f1f7c95f2226648957a9faa06884ba0f4824daa6802d87aee237ea8
data/folds/cv_10x10__GSE19804.csv,427257,cf26eb62a1e26fcb26c9547f9dceb788f0bfe6d4c6ad1da2e85a70324333c026
data/folds/cv_10x10__GSE19804__balance_check.csv,7521,5f968297c585e6817bb63888bb572c2c243db3a2b70d2b8afd28cea8ba42c5a3
data/folds/cv_10x10__GSE25837.csv,363787,2b3882dc70777a07ab6d600dc563857fa8316836b8563c35a49341b52b494cd3
data/folds/cv_10x10__GSE25837__balance_check.csv,8521,167041242805db5bd8e855230f6869bd3aee2d0fb95934abe20c202aa190d0af
data/folds/cv_10x10__GSE27272.csv,711887,5a7e682c2289082fd4956fc80692c2240b4f671f5726be0d108c90f9221751a7
data/folds/cv_10x10__GSE27272__balance_check.csv,8721,77dd0eba8b999b9fc32e9ae4de7ed15ce72cf54b1aa52678607bf4b765fa1bd8
data/folds/cv_10x10__GSE3365.csv,407627,a62e5f55bd59cd49d24addecadfcf4f3b0b90327989819434015cf8af9a5b505
data/folds/cv_10x10__GSE3365__balance_check.csv,7121,21cb976bd31f52a06c56281427a7f25cfdfab5b1217a5d9a236387a5b6b28817
data/folds/cv_10x10__GSE6613.csv,389107,e1c4d5afe0893f0cbe61cef70292c201bdd959d8954161a31b20ac0e6bc694b9
data/folds/cv_10x10__GSE6613__balance_check.csv,8521,7a85ca9cdbf752f52867c030ab1e444d3f68f3f55933786a3d8afbd5868f5ecd
data/folds/cv_5x5_f200__GDS2771.csv,169047,813beb2b96f0249a34022ea60c4b63eaf2a25cd4a65377127dc7c8543ed71ca8
data/folds/cv_5x5_f200__GSE10072.csv,94372,4739cb9565da74768b545052ce16cf4776f63fdaf8aac57b958c71b0331c7b9a
data/folds/cv_5x5_f200__GSE17920.csv,126557,4d2978453d20084772a402b5f986b7418940cd89afe04ba30e1834dca443e13a
data/folds/cv_5x5_f200__GSE19804.csv,105957,788c8993afc8507d1e82ce0d97f24ce0a4aabac2d64fcc94947edb8797618f46
data/folds/cv_5x5_f200__GSE25837.csv,90292,1632c950673426b63280e61c7a28c1b2511abe6df14342567a15ac063c3e3a75
data/folds/cv_5x5_f200__GSE27272.csv,176642,61ee7ebef0212c181671087580ca8c45fc4f931155c35a5a74c14100f519548c
data/folds/cv_5x5_f200__GSE3365.csv,100997,cbcb80d4e5e75ed6d657dbe13f54770c2de4b0f3a239f977e5807e1bfecc0181
data/folds/cv_5x5_f200__GSE6613.csv,96532,024f74886fda1f41b7f044ad6ebe033201142c97ac73f4776b93d91d11bc0543
data/folds/cv_5x5_tspdt_f100__GDS2771.csv,169047,813beb2b96f0249a34022ea60c4b63eaf2a25cd4a65377127dc7c8543ed71ca8
data/folds/cv_5x5_tspdt_f100__GSE10072.csv,94372,4739cb9565da74768b545052ce16cf4776f63fdaf8aac57b958c71b0331c7b9a
data/folds/cv_5x5_tspdt_f100__GSE17920.csv,126557,4d2978453d20084772a402b5f986b7418940cd89afe04ba30e1834dca443e13a
data/folds/cv_5x5_tspdt_f100__GSE19804.csv,105957,788c8993afc8507d1e82ce0d97f24ce0a4aabac2d64fcc94947edb8797618f46
data/folds/cv_5x5_tspdt_f100__GSE25837.csv,90292,1632c950673426b63280e61c7a28c1b2511abe6df14342567a15ac063c3e3a75
data/folds/cv_5x5_tspdt_f100__GSE27272.csv,176642,61ee7ebef0212c181671087580ca8c45fc4f931155c35a5a74c14100f519548c
data/folds/cv_5x5_tspdt_f100__GSE3365.csv,100997,cbcb80d4e5e75ed6d657dbe13f54770c2de4b0f3a239f977e5807e1bfecc0181
data/folds/cv_5x5_tspdt_f100__GSE6613.csv,96532,024f74886fda1f41b7f044ad6ebe033201142c97ac73f4776b93d91d11bc0543
data/folds/cv_5x5_tspdt_f200_pps__GDS2771.csv,169047,813beb2b96f0249a34022ea60c4b63eaf2a25cd4a65377127dc7c8543ed71ca8
