dataset_id,column_name,n_samples,n_missing,n_unique,top_values,metadata_type
GDS2771,disease.state,192,0,3,cancer [n=97] || no cancer [n=90] || suspect cancer [n=5],GDS_columns
GDS2771,description,192,0,192,Value for GSM93997: Smoker NOT diagnosed with cancer Sample 283; src: Bronchial Epithelium [n=1] || Value for GSM94019: Smoker diagnosed with cancer Sample 57; src: Bronchial Epithelium [n=1] || Value for GSM94020: Smoker diagnosed with cancer Sample 62; src: Bronchial Epithelium [n=1] || Value for GSM94021: Smoker diagnosed with cancer Sample 130; src: Bronchial Epithelium [n=1] || Value for GSM94022: Smoker diagnosed with cancer Sample 142; src: Bronchial Epithelium [n=1] || Value for GSM94023: Smoker diagnosed with cancer Sample 139; src: Bronchial Epithelium [n=1] || Value for GSM94024: Smoker diagnosed with cancer Sample 122; src: Bronchial Epithelium [n=1] || Value for GSM94025: Smoker diagnosed with cancer Sample 136; src: Bronchial Epithelium [n=1] || Value for GSM94026: Smoker diagnosed with cancer Sample 144; src: Bronchial Epithelium [n=1] || Value for GSM94027: Smoker diagnosed with cancer Sample 133; src: Bronchial Epithelium [n=1] || Value for GSM94028: Smoker diagnosed with cancer Sample 126; src: Bronchial Epithelium [n=1] || Value for GSM94029: Smoker diagnosed with cancer Sample 123; src: Bronchial Epithelium [n=1] || Value for GSM94030: Smoker diagnosed with cancer Sample 138; src: Bronchial Epithelium [n=1] || Value for GSM94031: Smoker diagnosed with cancer Sample 146; src: Bronchial Epithelium [n=1] || Value for GSM94032: Smoker diagnosed with cancer Sample 114; src: Bronchial Epithelium [n=1],GDS_columns
GDS2771,sample,192,0,192,GSM93997 [n=1] || GSM94019 [n=1] || GSM94020 [n=1] || GSM94021 [n=1] || GSM94022 [n=1] || GSM94023 [n=1] || GSM94024 [n=1] || GSM94025 [n=1] || GSM94026 [n=1] || GSM94027 [n=1] || GSM94028 [n=1] || GSM94029 [n=1] || GSM94030 [n=1] || GSM94031 [n=1] || GSM94032 [n=1],GDS_columns
GSE10072,title,107,0,107,Lung Tumor_GT00006 [n=1] || Lung Tumor_GT00007 [n=1] || Lung Tumor_GT00022 [n=1] || Lung Tumor_GT00042 [n=1] || Lung Tumor_GT00059 [n=1] || Lung Tumor_GT00146 [n=1] || Lung Tumor_GT01001 [n=1] || Lung Tumor_GT01003 [n=1] || Lung Tumor_GT01011 [n=1] || Lung Tumor_GT01017 [n=1] || Lung Tumor_GT01019 [n=1] || Lung Tumor_GT01025 [n=1] || Lung Tumor_GT01034 [n=1] || Lung Tumor_GT01036 [n=1] || Lung Tumor_GT01038 [n=1],GSE_sample_metadata
GSE10072,source_name_ch1,107,0,2,Adenocarcinoma of the Lung [n=58] || Normal Lung Tissue [n=49],GSE_sample_metadata
GSE10072,characteristics_ch1,107,0,2,Gender: Male [n=69] || Gender: Female [n=38],GSE_sample_metadata
GSE10072,characteristics_ch1.1,107,0,31,Age at Diagnosis: 71 [n=9] || Age at Diagnosis: 67 [n=8] || Age at Diagnosis: 63 [n=7] || Age at Diagnosis: 68 [n=7] || Age at Diagnosis: 73 [n=7] || Age at Diagnosis: 59 [n=6] || Age at Diagnosis: 69 [n=6] || Age at Diagnosis: 65 [n=5] || Age at Diagnosis: 61 [n=4] || Age at Diagnosis: 62 [n=4] || Age at Diagnosis: 66 [n=4] || Age at Diagnosis: 70 [n=4] || Age at Diagnosis: 74 [n=4] || Age at Diagnosis: 60 [n=3] || Age at Diagnosis: 75 [n=3],GSE_sample_metadata
GSE10072,characteristics_ch1.2,107,0,3,Cigarette Smoking Status: Current Smoker [n=40] || Cigarette Smoking Status: Former Smoker [n=36] || Cigarette Smoking Status: Never Smoked [n=31],GSE_sample_metadata
GSE10072,characteristics_ch1.3,107,0,7,Stage:IB [n=33] || Stage:IIB [n=31] || Stage:IIIA [n=16] || Stage:IA [n=12] || Stage:IV [n=6] || Stage:IIIB [n=5] || Stage:IIA [n=4],GSE_sample_metadata
GSE10072,Age at Diagnosis:ch1,107,0,31,71 [n=9] || 67 [n=8] || 63 [n=7] || 68 [n=7] || 73 [n=7] || 59 [n=6] || 69 [n=6] || 65 [n=5] || 61 [n=4] || 62 [n=4] || 66 [n=4] || 70 [n=4] || 74 [n=4] || 60 [n=3] || 75 [n=3],GSE_sample_metadata
