dataset_id,method_id,accuracy,balanced_accuracy,macro_f1,mcc,sensitivity,specificity,f1_pos,f1_neg,auc,brier,logloss,accuracy_sd,balanced_accuracy_sd,macro_f1_sd,mcc_sd,sensitivity_sd,specificity_sd,f1_pos_sd,f1_neg_sd,auc_sd,brier_sd,logloss_sd,n_folds
GDS2771,majority,0.531052631578947,0.5,0.346829810901001,0,0,1,0,0.693659621802002,0.5,0.249057588601526,0.691261278690178,0.00952141088140318,0,0.00402462306444145,0,0,0,0,0.0080492461288837,0,0.000562576935565891,0.00112647154124324,100
GDS2771,rrf_ranktreeensemble,0.574605263157895,0.579116161616162,0.54307010863524,0.181921234896623,0.657777777777778,0.500454545454546,0.573976237075695,0.512163980194785,,,,0.102434327685059,0.0991047824607039,0.119277807516467,0.217317064530162,0.250043019119511,0.277143235504782,0.130455533907468,0.208880147137002,,,,100
GDS2771,switchbox_ktsp,0.661184210526316,0.658257575757576,0.651487011994153,0.329744655746764,0.613333333333333,0.703181818181818,0.622173010530697,0.680801013457609,,,,0.0932149113520403,0.0929724067165369,0.0978350406411762,0.192429160207586,0.162962962962963,0.165862699024797,0.1180838020894,0.106575051337652,,,,100
GDS2771,switchbox_tsp,0.613973684210526,0.609131313131313,0.598140923658584,0.234160941907222,0.534444444444445,0.683818181818182,0.558661452984431,0.637620394332738,,,,0.103816949253987,0.100724514144227,0.107529566153544,0.211785746586891,0.160040367772081,0.211078033093836,0.118065008944175,0.141639121457193,,,,100
GDS2771,tspdt_bigtsp,0.664684210526316,0.662924242424242,0.658688801310638,0.334502660506888,0.636666666666667,0.689181818181818,0.637086975822371,0.680290626798905,,,,0.117567768760261,0.117163363024538,0.119432515914188,0.239073144393439,0.160164991623368,0.163113617635433,0.129480572124332,0.124425766323787,,,,100
GSE10072,majority,0.541919191919192,0.5,0.351400560224089,0,1,0,0.702801120448179,0,0.5,0.248286887841221,0.689717514010053,0.0143659208881193,0,0.00618230326123321,0,0,0,0.0123646065224661,0,0,0.00131788699353036,0.00264324059287709,100
GSE10072,rrf_ranktreeensemble,0.581131313131313,0.571666666666667,0.527547166069225,0.141367648680614,0.680333333333333,0.463,0.61524529228941,0.43984903984904,,,,0.220527055117354,0.224976616817122,0.249659097973715,0.479437398066305,0.295575111375512,0.387077890003153,0.238049334223377,0.348366315977121,,,,100
GSE10072,switchbox_ktsp,0.971141414141414,0.970083333333333,0.970403790653791,0.945166625792688,0.980666666666667,0.9595,0.974004551004551,0.96680303030303,,,,0.0544598433683365,0.0565578153385525,0.0559758181125191,0.104780561809542,0.0554908714345896,0.0909253773290177,0.0488183827871267,0.0638254808138993,,,,100
GSE10072,switchbox_tsp,0.962262626262626,0.96175,0.961306804306804,0.929714641394636,0.966,0.9575,0.964966422466422,0.957647186147186,,,,0.0581437923442324,0.0596836850059734,0.0600080034959655,0.108732342582546,0.0763916895721665,0.0964980242640681,0.0546921366435547,0.0669795438546207,,,,100
GSE10072,tspdt_bigtsp,0.934020202020202,0.934583333333333,0.933032772782773,0.87653578175567,0.931666666666667,0.9375,0.937616050616051,0.928449494949495,,,,0.0645693985085248,0.0645429302315379,0.0656838406220067,0.122754414473126,0.0956254149144113,0.102092995832132,0.0614299406901967,0.0713897132569589,,,,100
GSE17920,majority,0.708241758241758,0.5,0.414502164502165,0,0,1,0,0.829004329004329,0.5,0.20674772219511,0.603989382158965,0.022661155885247,0,0.00766039686247243,0,0,0,0,0.0153207937249444,0,0.00929398192652589,0.0197508154442731,100
