dataset_id,method_id,rank_balanced_accuracy,balanced_accuracy,accuracy,macro_f1,mcc
GDS2771,ranger_rf,1,0.736717171717172,0.744815789473684,0.733488453563208,0.502513470508429
GDS2771,glmnet_enet,2,0.712888888888889,0.717684210526316,0.709003314717469,0.441135505411472
GDS2771,svm_linear,3,0.712176767676768,0.712526315789474,0.708323207832933,0.433355424226049
GDS2771,knn_euclidean,4,0.701863636363636,0.708842105263158,0.698156345844023,0.423927574073876
GDS2771,xgboost_shallow,5,0.682843434343434,0.689947368421053,0.678436456360205,0.383857633382526
GDS2771,tspdt_bigtsp,6,0.662924242424242,0.664684210526316,0.658688801310638,0.334502660506888
GDS2771,switchbox_ktsp,7,0.658257575757576,0.661184210526316,0.651487011994153,0.329744655746764
GDS2771,rpart_tree,8,0.617353535353535,0.620131578947369,0.609184916454674,0.243158771017549
GDS2771,switchbox_tsp,9,0.609131313131313,0.613973684210526,0.598140923658584,0.234160941907222
GDS2771,rrf_ranktreeensemble,10,0.579116161616162,0.574605263157895,0.54307010863524,0.181921234896623
GDS2771,majority,11,0.5,0.531052631578947,0.346829810901001,0
GSE10072,ranger_rf,1,0.980916666666667,0.982434343434343,0.981701354201354,0.967189841703329
GSE10072,knn_euclidean,2,0.97975,0.981525252525253,0.980730103230103,0.965418081794212
GSE10072,glmnet_enet,3,0.97675,0.97830303030303,0.97749777999778,0.95958304760349
GSE10072,svm_linear,4,0.975083333333333,0.976575757575758,0.975665584415584,0.95651216568127
GSE10072,switchbox_ktsp,5,0.970083333333333,0.971141414141414,0.970403790653791,0.945166625792688
GSE10072,switchbox_tsp,6,0.96175,0.962262626262626,0.961306804306804,0.929714641394636
GSE10072,xgboost_shallow,7,0.9515,0.952969696969697,0.951531107781108,0.911700103865421
GSE10072,rpart_tree,8,0.93875,0.939353535353535,0.937846764346764,0.887232002264246
GSE10072,tspdt_bigtsp,9,0.934583333333333,0.934020202020202,0.933032772782773,0.87653578175567
GSE10072,rrf_ranktreeensemble,10,0.571666666666667,0.581131313131313,0.527547166069225,0.141367648680614
GSE10072,majority,11,0.5,0.541919191919192,0.351400560224089,0
GSE17920,ranger_rf,1,0.673083333333333,0.80032967032967,0.680808658183473,0.457513548286342
GSE17920,rpart_tree,2,0.662944444444445,0.732417582417582,0.659716582689308,0.35303541799644
GSE17920,xgboost_shallow,3,0.650361111111111,0.784331501831502,0.65413286675186,0.410104936076841
GSE17920,rrf_ranktreeensemble,4,0.612805555555556,0.649441391941392,0.592208853367135,0.222701243716518
GSE17920,svm_linear,5,0.558722222222222,0.618461538461538,0.545531416553863,0.115098571378112
GSE17920,switchbox_tsp,6,0.557666666666667,0.566163003663004,0.525036981637214,0.107921346883867
GSE17920,glmnet_enet,7,0.556638888888889,0.720796703296703,0.519945223585586,0.156720066760618
GSE17920,tspdt_bigtsp,8,0.553,0.636959706959707,0.544010866896299,0.115638496654635
GSE17920,knn_euclidean,9,0.550444444444445,0.68253663003663,0.532014780664364,0.122407792148532
GSE17920,switchbox_ktsp,10,0.504583333333333,0.527884615384615,0.480516459326259,0.00968487519254239
GSE17920,majority,11,0.5,0.708241758241758,0.414502164502165,0
GSE19804,glmnet_enet,1,0.953333333333333,0.953333333333333,0.952675990675991,0.913462626151654
GSE19804,ranger_rf,2,0.9525,0.9525,0.952082251082251,0.910944061811433
GSE19804,knn_euclidean,3,0.946666666666667,0.946666666666667,0.946315018315018,0.898492234697159
GSE19804,switchbox_tsp,4,0.945833333333333,0.945833333333333,0.945343656343656,0.897379289685721
GSE19804,xgboost_shallow,5,0.9425,0.9425,0.941964701964702,0.891592967579286
GSE19804,switchbox_ktsp,6,0.9375,0.9375,0.936755244755245,0.883001693467296
GSE19804,rpart_tree,7,0.921666666666667,0.921666666666667,0.920798534798535,0.85238584389592
GSE19804,svm_linear,8,0.9175,0.9175,0.916120324120324,0.845934337084104
GSE19804,tspdt_bigtsp,9,0.908333333333333,0.908333333333333,0.907114885114885,0.828075740315272
GSE19804,rrf_ranktreeensemble,10,0.898333333333333,0.898333333333333,0.894867989853284,0.813939330443826
GSE19804,majority,11,0.5,0.5,0.333333333333333,0
GSE25837,switchbox_tsp,1,0.566428571428571,0.482111111111111,0.454088314463314,0.125522841047827
GSE25837,svm_linear,2,0.527619047619048,0.648888888888889,0.50507886721122,0.0359989549785607
GSE25837,majority,3,0.5,0.754444444444445,0.429779411764706,0
GSE25837,glmnet_enet,3,0.5,0.754444444444445,0.429779411764706,0
GSE25837,ranger_rf,5,0.498095238095238,0.744777777777778,0.435316176470588,-0.00552678720231268
GSE25837,rrf_ranktreeensemble,6,0.488452380952381,0.661111111111111,0.43592125603155,-0.0243557837157486
GSE25837,xgboost_shallow,7,0.482380952380952,0.725888888888889,0.422280462184874,-0.0443353736144795
GSE25837,knn_euclidean,8,0.465714285714286,0.651222222222222,0.443338127558716,-0.0681226543116948
GSE25837,tspdt_bigtsp,9,0.453095238095238,0.575888888888889,0.443284549600726,-0.0845592313519511
GSE25837,rpart_tree,10,0.428809523809524,0.574555555555556,0.409655942097119,-0.149179878899059
GSE25837,switchbox_ktsp,11,0.349047619047619,0.397888888888889,0.329459817959818,-0.277105738934685
GSE27272,svm_linear,1,0.545403846153846,0.637463020295838,0.53751152422582,0.0926587972097261
GSE27272,rpart_tree,2,0.515435897435897,0.591104231166151,0.504481707447713,0.0405303918564856
GSE27272,ranger_rf,3,0.504480769230769,0.67030959752322,0.461239047287838,0.017945355765074
GSE27272,switchbox_tsp,4,0.503987179487179,0.458949088407293,0.435286278201839,0.0182447581778966
GSE27272,xgboost_shallow,5,0.501564102564103,0.694905400756794,0.423865055087664,0.00649919439748427
GSE27272,majority,6,0.5,0.699948400412797,0.411690072302558,0
GSE27272,glmnet_enet,7,0.497455128205128,0.692672858617131,0.414348100164883,-0.00613678189093941
GSE27272,rrf_ranktreeensemble,8,0.481416666666667,0.607007223942209,0.455180050367824,-0.0408850323375009
GSE27272,knn_euclidean,9,0.467019230769231,0.630356037151703,0.422689469494169,-0.0941731147691946
GSE27272,tspdt_bigtsp,10,0.458410256410256,0.543476092191263,0.449682591859209,-0.0858450443856399
GSE27272,switchbox_ktsp,11,0.431570512820513,0.405036119711042,0.384115982962611,-0.133368687128161
GSE3365,glmnet_enet,1,0.942222222222222,0.944716117216117,0.937427544935285,0.884801316553602
GSE3365,svm_linear,2,0.930152777777778,0.933974358974359,0.925218549768085,0.864028798522707
GSE3365,xgboost_shallow,3,0.857555555555556,0.884716117216117,0.85991652980102,0.743940444070149
GSE3365,ranger_rf,4,0.841472222222222,0.874505494505494,0.847300142066396,0.721402796979844
GSE3365,tspdt_bigtsp,5,0.8385,0.85978021978022,0.836915457478538,0.697392685967963
GSE3365,switchbox_tsp,6,0.830458333333333,0.80518315018315,0.795152856130797,0.639017647166288
GSE3365,switchbox_ktsp,7,0.824291666666667,0.828589743589744,0.809498075969438,0.654962783838049
GSE3365,rpart_tree,8,0.822819444444445,0.855357142857143,0.825173485134987,0.679508201784019
GSE3365,knn_euclidean,9,0.811875,0.8078663003663,0.790741513646313,0.615380350613267
GSE3365,rrf_ranktreeensemble,10,0.783486111111111,0.761428571428572,0.736172859218525,0.559808307377381
GSE3365,majority,11,0.5,0.66959706959707,0.40098814229249,0
GSE6613,switchbox_ktsp,1,0.614333333333333,0.605545454545454,0.582548423798424,0.261260878927875
GSE6613,knn_euclidean,2,0.597,0.595,0.58242007992008,0.205596114767371
GSE6613,tspdt_bigtsp,3,0.556333333333333,0.556545454545455,0.546355366855367,0.115924687242734
GSE6613,svm_linear,4,0.552333333333333,0.549818181818182,0.536128177378177,0.110898801631835
GSE6613,ranger_rf,5,0.532666666666667,0.533363636363636,0.519373834498834,0.0664254029301254
GSE6613,xgboost_shallow,6,0.525333333333333,0.527363636363636,0.509639638139638,0.0525803334801571
GSE6613,glmnet_enet,7,0.519,0.531545454545455,0.427905259772907,0.0405163417854748
GSE6613,majority,8,0.5,0.522727272727273,0.34313725490196,0
GSE6613,switchbox_tsp,9,0.494833333333333,0.488454545454546,0.450702505827506,-0.00962998104197657
GSE6613,rpart_tree,10,0.483666666666667,0.486272727272727,0.47153885003885,-0.0355412019179022
GSE6613,rrf_ranktreeensemble,11,0.470333333333333,0.470727272727273,0.39846284352902,-0.0778113534509426
