method_id,dataset_id,n_jobs,mean_model_size,mean_n_features_used,mean_n_relations_used
glmnet_enet,GDS2771,100,34.81,100,0
glmnet_enet,GSE10072,100,39.5,100,0
glmnet_enet,GSE17920,100,17.49,100,0
glmnet_enet,GSE19804,100,23.02,100,0
glmnet_enet,GSE25837,100,1.99,100,0
glmnet_enet,GSE27272,100,5.55,100,0
glmnet_enet,GSE3365,100,43.11,100,0
glmnet_enet,GSE6613,100,6.06,100,0
knn_euclidean,GDS2771,100,5,100,0
knn_euclidean,GSE10072,100,5,100,0
knn_euclidean,GSE17920,100,5,100,0
knn_euclidean,GSE19804,100,5,100,0
knn_euclidean,GSE25837,100,5,100,0
knn_euclidean,GSE27272,100,5,100,0
knn_euclidean,GSE3365,100,5,100,0
knn_euclidean,GSE6613,100,5,100,0
majority,GDS2771,100,1,0,0
majority,GSE10072,100,1,0,0
majority,GSE17920,100,1,0,0
majority,GSE19804,100,1,0,0
majority,GSE25837,100,1,0,0
majority,GSE27272,100,1,0,0
majority,GSE3365,100,1,0,0
majority,GSE6613,100,1,0,0
ranger_rf,GDS2771,100,25,100,0
ranger_rf,GSE10072,100,25,100,0
ranger_rf,GSE17920,100,25,100,0
ranger_rf,GSE19804,100,25,100,0
ranger_rf,GSE25837,100,25,100,0
ranger_rf,GSE27272,100,25,100,0
ranger_rf,GSE3365,100,25,100,0
ranger_rf,GSE6613,100,25,100,0
rpart_tree,GDS2771,100,16.56,100,0
rpart_tree,GSE10072,100,3,100,0
rpart_tree,GSE17920,100,8.88,100,0
rpart_tree,GSE19804,100,3,100,0
rpart_tree,GSE25837,100,6.48,100,0
rpart_tree,GSE27272,100,15.66,100,0
rpart_tree,GSE3365,100,6.34,100,0
rpart_tree,GSE6613,100,10.52,100,0
rrf_ranktreeensemble,GDS2771,100,50,50,
rrf_ranktreeensemble,GSE10072,100,50,50,
rrf_ranktreeensemble,GSE17920,100,50,50,
rrf_ranktreeensemble,GSE19804,100,50,50,
rrf_ranktreeensemble,GSE25837,100,50,50,
rrf_ranktreeensemble,GSE27272,100,50,50,
rrf_ranktreeensemble,GSE3365,100,50,50,
rrf_ranktreeensemble,GSE6613,100,50,50,
svm_linear,GDS2771,100,81.79,100,0
svm_linear,GSE10072,100,11.64,100,0
svm_linear,GSE17920,100,61.08,100,0
svm_linear,GSE19804,100,24.73,100,0
svm_linear,GSE25837,100,53.19,100,0
svm_linear,GSE27272,100,102.05,100,0
svm_linear,GSE3365,100,33.79,100,0
svm_linear,GSE6613,100,59.36,100,0
switchbox_ktsp,GDS2771,100,6.5,200,6.5
switchbox_ktsp,GSE10072,100,4.04,200,4.04
switchbox_ktsp,GSE17920,100,6.32,200,6.32
switchbox_ktsp,GSE19804,100,3.96,200,3.96
switchbox_ktsp,GSE25837,100,6.62,200,6.62
switchbox_ktsp,GSE27272,100,6.52,200,6.52
switchbox_ktsp,GSE3365,100,5.84,200,5.84
switchbox_ktsp,GSE6613,100,6.82,200,6.82
switchbox_tsp,GDS2771,100,1,2,1
switchbox_tsp,GSE10072,100,1,2,1
switchbox_tsp,GSE17920,100,1,2,1
switchbox_tsp,GSE19804,100,1,2,1
switchbox_tsp,GSE25837,100,1,2,1
switchbox_tsp,GSE27272,100,1,2,1
switchbox_tsp,GSE3365,100,1,2,1
switchbox_tsp,GSE6613,100,1,2,1
tspdt_bigtsp,GDS2771,100,36.78,100,
tspdt_bigtsp,GSE10072,100,4.62,100,
tspdt_bigtsp,GSE17920,100,25,100,
tspdt_bigtsp,GSE19804,100,7.7,100,
tspdt_bigtsp,GSE25837,100,20.42,100,
tspdt_bigtsp,GSE27272,100,42.06,100,
tspdt_bigtsp,GSE3365,100,12.94,100,
tspdt_bigtsp,GSE6613,100,24.72,100,
xgboost_shallow,GDS2771,100,25,100,0
xgboost_shallow,GSE10072,100,25,100,0
xgboost_shallow,GSE17920,100,25,100,0
xgboost_shallow,GSE19804,100,25,100,0
xgboost_shallow,GSE25837,100,25,100,0
xgboost_shallow,GSE27272,100,25,100,0
xgboost_shallow,GSE3365,100,25,100,0
xgboost_shallow,GSE6613,100,25,100,0
