method_id,n_datasets,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,mean_mcc,sd_balanced_accuracy_across_datasets,sd_macro_f1_across_datasets,sd_mcc_across_datasets
ranger_rf,8,0.787879538675978,0.714991508491509,0.701413739669243,0.454800961347783,0.196379099566194,0.215725477536392,0.395970652560398
svm_linear,8,0.749401007725505,0.714873916014541,0.706197206438251,0.431810731339046,0.196289078552475,0.20294130299338,0.397960309459732
glmnet_enet,8,0.786687019035316,0.707286057692308,0.671072828201826,0.423760265296921,0.218278723800782,0.254019197009735,0.434633805198036
xgboost_shallow,8,0.775327826305961,0.699254811161061,0.680220852258884,0.419492529904673,0.195257879809051,0.219233369259935,0.394985699566204
knn_euclidean,8,0.750501901778992,0.690041657994783,0.674550679834098,0.383615797376691,0.204581924230597,0.216252853294822,0.412518743129789
switchbox_tsp,8,0.665366317828199,0.683761091339216,0.645632290071214,0.367791435652685,0.196660860822481,0.222827454089452,0.392518987974431
rpart_tree,8,0.715107377529591,0.673930772352647,0.667299597875994,0.358891193499712,0.199426785084017,0.205991904175482,0.406020980999642
tspdt_bigtsp,8,0.709961013530673,0.670647467116217,0.664885661487304,0.349708222088196,0.197727477363574,0.201526347990187,0.399148504807257
switchbox_ktsp,8,0.666846305848434,0.661208421786547,0.643098100927467,0.334168385862796,0.231532851010394,0.243973833996833,0.459862943468129
rrf_ranktreeensemble,8,0.650473185096637,0.610701276154401,0.572928890883975,0.222085699451346,0.154214604504976,0.167626465925661,0.314484044563227
majority,8,0.615991346115185,0.5,0.378957593777788,0,0,0.0388390235621874,0
