dataset_id,method_id,family,n_jobs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,rank_balanced_accuracy
GDS2771,glmnet_enet,R,25,0.7325775978407557,0.08247952185440027,0.7277301587301588,0.08531117855550308,0.7261204434033016,0.08675367348928499,0.4665987783240609,0.17072055409787704,1.0
GSE10072,glmnet_enet,R,25,0.987012987012987,0.024985706451548066,0.9863333333333333,0.026666666666666672,0.9867981481015806,0.02551931447370602,0.9750920139779657,0.04774321798552253,1.0
GSE17920,ranger_rf,R,25,0.7923076923076924,0.05551444896054095,0.6666186299081036,0.08497312658410013,0.6822575018894987,0.10251406566998794,0.44428847513317804,0.203865912334095,1.0
GSE19804,py_reos,python_gene_pair,25,0.9583333333333333,0.03402069087198859,0.9583333333333333,0.03402069087198857,0.9582432350258437,0.03410261554226843,0.9192528340222806,0.06662712183444944,1.0
GSE19804,py_tsp_rf,python_gene_pair,25,0.9583333333333335,0.039892796156514095,0.9583333333333333,0.03989279615651408,0.9581784843176148,0.04012999347144153,0.919868576296388,0.07678121081056122,1.0
GSE25837,glmnet_enet,R,25,0.7532163742690059,0.020467836257310024,0.5,0.0,0.4295454545454544,0.006628787878788007,0.0,0.0,1.0
GSE25837,majority,R,25,0.7532163742690059,0.020467836257310024,0.5,0.0,0.4295454545454544,0.006628787878788007,0.0,0.0,1.0
GSE27272,svm_linear,R,25,0.6403003003003005,0.07948991114160729,0.5749314685314685,0.09925748452291887,0.5706821940409781,0.1002957900851131,0.14752819662034825,0.2021680306685992,1.0
GSE3365,svm_linear,R,25,0.9431999999999999,0.04993471082491262,0.9426633986928104,0.05217548130173804,0.9369577284378792,0.055121016109786036,0.879622054374782,0.1072320995782975,1.0
GSE6613,py_reos_svm,python_gene_pair,25,0.6228571428571429,0.1107590795201239,0.6214545454545455,0.11218405282387059,0.617859558019741,0.11190860668489376,0.24919331765953576,0.22932190804051414,1.0
GSE6613,py_tsp_svm,python_gene_pair,25,0.6228571428571429,0.1107590795201239,0.6214545454545455,0.11218405282387059,0.617859558019741,0.11190860668489376,0.24919331765953576,0.22932190804051414,1.0
