dataset_id,method_id,family,n_jobs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,rank_balanced_accuracy
GDS2771,glmnet_enet,R,25,0.7325775978407557,0.0824795218544002,0.7277301587301588,0.085311178555503,0.7261204434033016,0.0867536734892849,0.4665987783240609,0.170720554097877,1.0
GSE10072,glmnet_enet,R,25,0.987012987012987,0.024985706451548,0.9863333333333332,0.0266666666666666,0.9867981481015806,0.025519314473706,0.9750920139779656,0.0477432179855225,1.0
GSE17920,ranger_rf,R,25,0.7923076923076924,0.0555144489605409,0.6666186299081036,0.0849731265841001,0.6822575018894987,0.1025140656699879,0.444288475133178,0.203865912334095,1.0
GSE19804,py_reos,python_gene_pair,25,0.9583333333333331,0.0340206908719885,0.9583333333333331,0.0340206908719885,0.9582432350258436,0.0341026155422684,0.9192528340222806,0.0666271218344494,1.0
GSE19804,py_tsp_rf,python_gene_pair,25,0.9583333333333336,0.039892796156514,0.9583333333333331,0.039892796156514,0.9581784843176148,0.0401299934714415,0.919868576296388,0.0767812108105612,1.0
GSE25837,tspdt_bigtsp,R,25,0.6242105263157895,0.09963755092095769,0.5127142857142857,0.12489825791391955,0.5044657630261635,0.12169827287288791,0.019809006571594952,0.24422059535985033,1.0
GSE27272,svm_linear,R,25,0.6403003003003005,0.0794899111416072,0.5749314685314685,0.0992574845229188,0.5706821940409781,0.1002957900851131,0.1475281966203482,0.2021680306685992,1.0
GSE3365,svm_linear,R,25,0.9432,0.0499347108249126,0.9426633986928104,0.052175481301738,0.9369577284378792,0.055121016109786,0.879622054374782,0.1072320995782975,1.0
GSE6613,py_reos_svm,python_gene_pair,25,0.6228571428571429,0.1107590795201239,0.6214545454545455,0.1121840528238705,0.617859558019741,0.1119086066848937,0.2491933176595357,0.2293219080405141,1.0
GSE6613,py_tsp_svm,python_gene_pair,25,0.6228571428571429,0.1107590795201239,0.6214545454545455,0.1121840528238705,0.617859558019741,0.1119086066848937,0.2491933176595357,0.2293219080405141,1.0
