dataset_id,method_id,family,n_jobs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,rank_balanced_accuracy
GDS2771,glmnet_enet,R,25,0.7325775978407557,0.0824795218544002,0.7277301587301588,0.085311178555503,0.7261204434033016,0.0867536734892849,0.4665987783240609,0.170720554097877,1.0
GDS2771,svm_linear,R,25,0.7022132253711202,0.0825905418379279,0.7004126984126984,0.0841455037267594,0.6982604099754893,0.085300150639799,0.4065111081288611,0.1709719644468683,2.0
GDS2771,xgboost_shallow,R,25,0.7033468286099865,0.060175757389653,0.6985873015873016,0.0609260623362982,0.6968436654153919,0.063093508057944,0.4078054130290058,0.1249435722504727,3.0
GDS2771,ranger_rf,R,25,0.6991632928475033,0.0694131842783885,0.6934126984126984,0.0722446582686782,0.6909623150299121,0.0748420614666709,0.3978679093517307,0.1450246892610177,4.0
GDS2771,py_tsp_rf,python_gene_pair,25,0.6917948717948719,0.0799403603511352,0.684968253968254,0.0792240247849893,0.6815608867406918,0.0819510728671774,0.3886015913724697,0.1648325581275896,5.0
GDS2771,knn_euclidean,R,25,0.6883130904183536,0.0775315388872157,0.6805238095238095,0.0785834459838664,0.6774925659100858,0.0815277195020678,0.3765710254982635,0.1592061793601662,6.0
GDS2771,pyrrm_knn5,pyrrm,25,0.6728744939271255,0.0683013003623458,0.6659999999999999,0.0702241489158459,0.6622031112368357,0.0743785522901923,0.3451486174761324,0.144359882550059,7.0
GDS2771,switchbox_ktsp,R,25,0.6585425101214575,0.0857495549343504,0.6549047619047619,0.0830339861571323,0.6491747397496601,0.0865898447420543,0.3245548528877313,0.1722305352126281,8.0
GDS2771,py_reos_svm,python_gene_pair,25,0.6501754385964912,0.0749160274051295,0.6472857142857142,0.0759191286616871,0.6458821640301057,0.0763448151841548,0.2980999214956654,0.1528112565287605,9.0
GDS2771,py_tsp_svm,python_gene_pair,25,0.6501754385964912,0.0749160274051295,0.6472857142857142,0.0759191286616871,0.6458821640301057,0.0763448151841548,0.2980999214956654,0.1528112565287605,9.0
GDS2771,tspdt_bigtsp,R,25,0.6283400809716599,0.07779269087927507,0.6276825396825396,0.07678172200222708,0.6252788590843159,0.07690294056416463,0.2596560839931415,0.15792188900344958,11.0
GDS2771,py_reos,python_gene_pair,25,0.6263427800269905,0.0627174379896012,0.621920634920635,0.0646925082395404,0.6149693747223212,0.0685113999912548,0.2535427487114641,0.1330238549396689,12.0
GDS2771,rpart_tree,R,25,0.6155195681511472,0.0794310534601174,0.6130000000000001,0.0784758617942724,0.6088410089993037,0.0808984088044794,0.2317681960614463,0.158866944624798,13.0
GDS2771,rrf_ranktreeensemble,R,25,0.594952766531714,0.0931401264444839,0.5944444444444446,0.0849971685733761,0.5465404244905512,0.1263154141204437,0.2185076201695212,0.1857591757864791,14.0
GDS2771,switchbox_tsp,R,25,0.5906072874493926,0.0844063028555026,0.5907301587301588,0.083049551450545,0.5811615748822263,0.0828032837066774,0.1933515021782799,0.1745220009102482,15.0
GDS2771,py_tsp,python_gene_pair,25,0.5906072874493927,0.0844063028555027,0.5907301587301587,0.083049551450545,0.5811615748822262,0.0828032837066774,0.1933515021782799,0.1745220009102482,16.0
GDS2771,majority,R,25,0.5311740890688256,0.006072874493927,0.5,0.0,0.3468965517241382,0.0025862068965514,0.0,0.0,17.0
GSE10072,glmnet_enet,R,25,0.987012987012987,0.024985706451548,0.9863333333333332,0.0266666666666666,0.9867981481015806,0.025519314473706,0.9750920139779656,0.0477432179855225,1.0
GSE10072,svm_linear,R,25,0.985021645021645,0.0261904761904761,0.9844444444444445,0.0271100295776987,0.9848173113944282,0.0266005327768693,0.970649706566767,0.0519495855391082,2.0
GSE10072,ranger_rf,R,25,0.9831168831168832,0.0301026668092328,0.982111111111111,0.0318343513507959,0.9827963455099812,0.0307008144732642,0.9678170090354274,0.056820878928786,3.0
GSE10072,pyrrm_knn5,pyrrm,25,0.9812121212121212,0.0302173598311757,0.9803232323232324,0.0317219966734715,0.9809381148517506,0.030691523309414,0.9635691467453208,0.0587648861160993,4.0
GSE10072,knn_euclidean,R,25,0.9812987012987012,0.0356260662141067,0.9797777777777776,0.0383856326002771,0.9808021873162808,0.036583037078492,0.9646312311352584,0.0670672062652581,5.0
GSE10072,py_reos,python_gene_pair,25,0.9794805194805196,0.035791381215799,0.9781111111111112,0.0383755805843401,0.9789802411465084,0.0367210600837841,0.9611460683022696,0.0674156150921622,6.0
GSE10072,py_tsp_rf,python_gene_pair,25,0.9794805194805196,0.035791381215799,0.9781111111111112,0.0383755805843401,0.9789802411465084,0.0367210600837841,0.9611460683022696,0.0674156150921622,6.0
GSE10072,py_tsp_svm,python_gene_pair,25,0.9793939393939394,0.0358567711730265,0.9781111111111112,0.0383755805843401,0.978879990519942,0.0367941639720876,0.9609630353844284,0.0675582037351861,6.0
GSE10072,py_reos_svm,python_gene_pair,25,0.9756709956709958,0.0359446416875066,0.9746262626262626,0.0382039995561127,0.975153282445408,0.0368279170248439,0.9538415089150756,0.0677700022373174,9.0
GSE10072,switchbox_ktsp,R,25,0.9737662337662336,0.0384075646272393,0.9734444444444444,0.0393906127189,0.9732941363238844,0.0391932956580479,0.9499178128356977,0.0732651116453407,10.0
GSE10072,py_tsp,python_gene_pair,25,0.9645887445887448,0.0446830353984351,0.964141414141414,0.0466792775605639,0.963901798905541,0.0458953229967315,0.9325891101149392,0.085085430910275,11.0
GSE10072,xgboost_shallow,R,25,0.9588744588744588,0.0471079750156,0.9573232323232324,0.0500753500699097,0.9579268435368046,0.0487009953606964,0.9211104936731755,0.0900497224026205,12.0
GSE10072,switchbox_tsp,R,25,0.957056277056277,0.0540247483858458,0.957020202020202,0.0549890770242637,0.9563505762151878,0.0549329090515,0.9187182390729688,0.1026936944738138,13.0
GSE10072,tspdt_bigtsp,R,25,0.957056277056277,0.05402474838584585,0.9570202020202019,0.05498907702426371,0.9563505762151878,0.05493290905150004,0.9187182390729689,0.10269369447381385,14.0
GSE10072,rpart_tree,R,25,0.9308225108225108,0.0380304118506886,0.9306464646464648,0.040140917751053,0.9298050317520232,0.0389676881971578,0.8673439924324151,0.0735123752384005,15.0
GSE10072,rrf_ranktreeensemble,R,25,0.8671861471861472,0.1171981484842371,0.8752626262626262,0.1063781291986224,0.8617409649154432,0.1270922781177071,0.7739949313306542,0.1820000840947158,16.0
GSE10072,majority,R,25,0.5419913419913418,0.0179797053309912,0.5,0.0,0.351403743315508,0.0075211365332178,0.0,0.0,17.0
