method_id,family,n_datasets,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,mean_mcc,sd_balanced_accuracy_across_datasets,sd_macro_f1_across_datasets,sd_mcc_across_datasets
svm_linear,R,8,0.7574404359549096,0.7243822825695116,0.7194213364471999,0.44949291083683457,0.19688985964498948,0.20013950262061148,0.3937995380088502
ranger_rf,R,8,0.7930847787939893,0.7208279504207522,0.7103700017869644,0.4652566141475178,0.19032053632412851,0.20884920262025883,0.37846616233061026
glmnet_enet,R,8,0.7876722530867267,0.7083270780861725,0.6720569479092864,0.4225608089140709,0.22215197571731018,0.2585157718492662,0.44125547594594733
xgboost_shallow,R,8,0.7787612017783071,0.7068587213096501,0.6935034015399443,0.428713411508213,0.19682029728630399,0.2158332564325512,0.3981734719951173
py_tsp_rf,python_gene_pair,8,0.7647783141269984,0.6974320637051287,0.6850279805017151,0.399586453763038,0.21083845041184926,0.2250231197535499,0.4263247791906706
pyrrm_knn5,pyrrm,8,0.7531242428387165,0.6934706264366868,0.6801964648599046,0.3850247138863079,0.20980893834182787,0.21754673068396932,0.41879217470129704
py_tsp_svm,python_gene_pair,8,0.7306741288346551,0.6848196645030236,0.6817914312411567,0.37287734663305544,0.2160435475634698,0.2187277027790439,0.43499519907835443
py_reos_svm,python_gene_pair,8,0.7308344018949282,0.6847741728215025,0.681868052986145,0.37289605581978,0.21620236781900473,0.21897010460707658,0.43532185173735544
tspdt_bigtsp,R,8,0.7174734119405173,0.6819755174349215,0.6782092559385573,0.3676751489246595,0.19168451995236585,0.19376447876052624,0.3851218682867479
knn_euclidean,R,8,0.7427814753367384,0.6798587108754678,0.6680757179601801,0.3606214309323703,0.20406466703788442,0.21296580565396414,0.4094797773307473
rpart_tree,R,8,0.7185978318899372,0.6767434124827701,0.6736272352783341,0.36198113653009734,0.18411789281784013,0.1879375843033085,0.37367651562773757
py_reos,python_gene_pair,8,0.6692955206915733,0.6760179345851947,0.6531790799666631,0.3589051446135863,0.22312767230226394,0.23755621453506584,0.43660211122462594
switchbox_ktsp,R,8,0.6751780223806539,0.6741042777569868,0.6576385316007658,0.3542557122713061,0.21777143928766796,0.23022585656789277,0.4301487585837472
py_tsp,python_gene_pair,8,0.6633822825901774,0.6693273509643091,0.6453273686506595,0.33951070954761753,0.2122708272618732,0.22756364189475578,0.41938421031488843
switchbox_tsp,R,8,0.6626278112357059,0.668831286244715,0.6444852186998363,0.33866043991570316,0.21188260495433844,0.22705822961189745,0.4182568989838328
rrf_ranktreeensemble,R,8,0.7096079481329481,0.6568951623840555,0.6239361075802573,0.33203704058409717,0.16946544836533425,0.1923206008669865,0.3490154076834329
majority,R,8,0.6158526872211083,0.5,0.37897783360641096,0.0,0.0,0.03867034967053298,0.0
