dataset_id,method_id,family,n_jobs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std
GDS2771,glmnet_enet,R,25,0.7325775978407557,0.08247952185440027,0.7277301587301588,0.08531117855550308,0.7261204434033016,0.08675367348928499,0.4665987783240609,0.17072055409787704
GDS2771,svm_linear,R,25,0.7022132253711202,0.0825905418379279,0.7004126984126984,0.08414550372675945,0.6982604099754893,0.08530015063979905,0.40651110812886115,0.17097196444686832
GDS2771,xgboost_shallow,R,25,0.7033468286099865,0.06017575738965304,0.6985873015873016,0.0609260623362982,0.6968436654153919,0.063093508057944,0.40780541302900586,0.12494357225047271
GDS2771,ranger_rf,R,25,0.6991632928475033,0.06941318427838854,0.6934126984126984,0.07224465826867829,0.6909623150299121,0.07484206146667093,0.3978679093517307,0.14502468926101772
GDS2771,py_tsp_rf,python_gene_pair,25,0.6917948717948719,0.07994036035113523,0.684968253968254,0.07922402478498937,0.6815608867406918,0.0819510728671774,0.3886015913724697,0.1648325581275896
GDS2771,knn_euclidean,R,25,0.6883130904183536,0.07753153888721578,0.6805238095238095,0.0785834459838664,0.6774925659100858,0.08152771950206782,0.3765710254982635,0.1592061793601662
GDS2771,pyrrm_knn5,pyrrm,25,0.6728744939271255,0.06830130036234584,0.6659999999999999,0.0702241489158459,0.6622031112368357,0.07437855229019237,0.3451486174761324,0.14435988255005908
GDS2771,switchbox_ktsp,R,25,0.6585425101214575,0.08574955493435041,0.6549047619047619,0.08303398615713238,0.6491747397496601,0.08658984474205435,0.32455485288773134,0.1722305352126281
GDS2771,py_reos_svm,python_gene_pair,25,0.6501754385964912,0.07491602740512952,0.6472857142857142,0.07591912866168718,0.6458821640301057,0.0763448151841548,0.2980999214956654,0.15281125652876054
GDS2771,py_tsp_svm,python_gene_pair,25,0.6501754385964912,0.07491602740512952,0.6472857142857142,0.07591912866168718,0.6458821640301057,0.0763448151841548,0.2980999214956654,0.15281125652876054
GDS2771,py_reos,python_gene_pair,25,0.6263427800269905,0.06271743798960126,0.621920634920635,0.0646925082395404,0.6149693747223212,0.06851139999125481,0.25354274871146415,0.13302385493966898
GDS2771,rpart_tree,R,25,0.6155195681511472,0.07943105346011745,0.6130000000000001,0.07847586179427245,0.6088410089993037,0.08089840880447942,0.23176819606144636,0.15886694462479808
GDS2771,rrf_ranktreeensemble,R,25,0.594952766531714,0.09314012644448397,0.5944444444444446,0.0849971685733761,0.5465404244905512,0.12631541412044378,0.21850762016952127,0.18575917578647913
GDS2771,switchbox_tsp,R,25,0.5906072874493926,0.08440630285550269,0.5907301587301588,0.08304955145054509,0.5811615748822263,0.08280328370667746,0.1933515021782799,0.17452200091024828
GDS2771,py_tsp,python_gene_pair,25,0.5906072874493927,0.08440630285550277,0.5907301587301587,0.08304955145054502,0.5811615748822262,0.08280328370667749,0.1933515021782799,0.17452200091024828
GDS2771,majority,R,25,0.5311740890688256,0.006072874493927019,0.5,0.0,0.34689655172413825,0.0025862068965514756,0.0,0.0
GSE10072,glmnet_enet,R,25,0.987012987012987,0.024985706451548066,0.9863333333333333,0.026666666666666672,0.9867981481015806,0.02551931447370602,0.9750920139779657,0.04774321798552253
GSE10072,svm_linear,R,25,0.985021645021645,0.026190476190476146,0.9844444444444445,0.02711002957769878,0.9848173113944282,0.02660053277686936,0.970649706566767,0.05194958553910823
GSE10072,ranger_rf,R,25,0.9831168831168832,0.03010266680923281,0.982111111111111,0.03183435135079599,0.9827963455099813,0.030700814473264226,0.9678170090354274,0.056820878928786074
GSE10072,pyrrm_knn5,pyrrm,25,0.9812121212121212,0.030217359831175794,0.9803232323232324,0.03172199667347155,0.9809381148517506,0.03069152330941409,0.9635691467453209,0.05876488611609934
GSE10072,knn_euclidean,R,25,0.9812987012987012,0.035626066214106765,0.9797777777777777,0.03838563260027712,0.9808021873162808,0.03658303707849204,0.9646312311352583,0.06706720626525815
GSE10072,py_reos,python_gene_pair,25,0.9794805194805195,0.03579138121579909,0.9781111111111112,0.03837558058434015,0.9789802411465085,0.03672106008378413,0.9611460683022695,0.06741561509216228
GSE10072,py_tsp_rf,python_gene_pair,25,0.9794805194805195,0.03579138121579909,0.9781111111111112,0.03837558058434015,0.9789802411465085,0.03672106008378413,0.9611460683022695,0.06741561509216228
GSE10072,py_tsp_svm,python_gene_pair,25,0.9793939393939394,0.03585677117302658,0.9781111111111112,0.038375580584340145,0.978879990519942,0.03679416397208764,0.9609630353844283,0.06755820373518613
GSE10072,py_reos_svm,python_gene_pair,25,0.9756709956709958,0.035944641687506614,0.9746262626262626,0.03820399955611273,0.975153282445408,0.03682791702484395,0.9538415089150757,0.0677700022373174
GSE10072,switchbox_ktsp,R,25,0.9737662337662337,0.03840756462723933,0.9734444444444444,0.039390612718900014,0.9732941363238845,0.039193295658047946,0.9499178128356975,0.07326511164534079
GSE10072,py_tsp,python_gene_pair,25,0.9645887445887447,0.044683035398435114,0.9641414141414141,0.046679277560563906,0.963901798905541,0.04589532299673155,0.9325891101149392,0.08508543091027504
GSE10072,xgboost_shallow,R,25,0.9588744588744589,0.04710797501560001,0.9573232323232324,0.05007535006990976,0.9579268435368046,0.048700995360696414,0.9211104936731757,0.09004972240262053
GSE10072,switchbox_tsp,R,25,0.957056277056277,0.05402474838584585,0.9570202020202019,0.05498907702426371,0.9563505762151878,0.05493290905150004,0.9187182390729689,0.10269369447381385
GSE10072,rpart_tree,R,25,0.9308225108225108,0.03803041185068861,0.9306464646464647,0.04014091775105307,0.9298050317520231,0.03896768819715786,0.8673439924324151,0.07351237523840058
GSE10072,rrf_ranktreeensemble,R,25,0.8671861471861472,0.11719814848423711,0.8752626262626262,0.1063781291986224,0.8617409649154432,0.12709227811770718,0.7739949313306542,0.18200008409471585
