family,method_id,status,n_jobs,mean_total_seconds,max_total_seconds
R,glmnet_enet,DONE,200,12.272744238376617,40.8675363063812
R,knn_euclidean,DONE,200,10.407641801834107,17.7157776355743
R,majority,DONE,200,32.08433878183365,100.982809782028
R,ranger_rf,DONE,200,9.706642495393753,17.3730556964874
R,rpart_tree,DONE,200,10.114901661872864,17.7897479534149
R,rrf_ranktreeensemble,DONE,200,17.58881496429444,41.3336818218231
R,svm_linear,DONE,200,10.2056563270092,17.8801743984222
R,switchbox_ktsp,DONE,200,12.558203964233401,67.6495337486267
R,switchbox_tsp,DONE,200,19.975052444934846,72.8327736854553
R,tspdt_bigtsp,FAIL,200,288.46526763558387,450.254254341125
R,xgboost_shallow,DONE,200,10.112984824180604,18.5076992511749
pyrrm,pyrrm_knn5,DONE,200,512.1042375290394,1151.2760863304138
python_gene_pair,py_reos,DONE,200,349.65058074712755,1055.7231199741364
python_gene_pair,py_reos_svm,DONE,200,349.3067485785484,1040.8093037605286
python_gene_pair,py_tsp,DONE,200,338.17154346108435,1031.164201259613
python_gene_pair,py_tsp_rf,DONE,200,327.17604890108106,1022.3073129653932
python_gene_pair,py_tsp_svm,DONE,200,333.0060915374756,1028.0132145881653
