method_id,dataset_id,n_jobs,mean_n_features_used,mean_n_pairs
py_reos,GDS2771,100,100.0,25.0
py_reos,GSE10072,100,100.0,25.0
py_reos,GSE17920,100,100.0,25.0
py_reos,GSE19804,100,100.0,25.0
py_reos,GSE25837,100,100.0,25.0
py_reos,GSE27272,100,100.0,25.0
py_reos,GSE3365,100,100.0,25.0
py_reos,GSE6613,100,100.0,25.0
py_reos_svm,GDS2771,100,100.0,25.0
py_reos_svm,GSE10072,100,100.0,25.0
py_reos_svm,GSE17920,100,100.0,25.0
py_reos_svm,GSE19804,100,100.0,25.0
py_reos_svm,GSE25837,100,100.0,25.0
py_reos_svm,GSE27272,100,100.0,25.0
py_reos_svm,GSE3365,100,100.0,25.0
py_reos_svm,GSE6613,100,100.0,25.0
py_tsp,GDS2771,100,100.0,1.0
py_tsp,GSE10072,100,100.0,1.0
py_tsp,GSE17920,100,100.0,1.0
py_tsp,GSE19804,100,100.0,1.0
py_tsp,GSE25837,100,100.0,1.0
py_tsp,GSE27272,100,100.0,1.0
py_tsp,GSE3365,100,100.0,1.0
py_tsp,GSE6613,100,100.0,1.0
py_tsp_rf,GDS2771,100,100.0,50.0
py_tsp_rf,GSE10072,100,100.0,50.0
py_tsp_rf,GSE17920,100,100.0,50.0
py_tsp_rf,GSE19804,100,100.0,50.0
py_tsp_rf,GSE25837,100,100.0,50.0
py_tsp_rf,GSE27272,100,100.0,50.0
py_tsp_rf,GSE3365,100,100.0,50.0
py_tsp_rf,GSE6613,100,100.0,50.0
py_tsp_svm,GDS2771,100,100.0,25.0
py_tsp_svm,GSE10072,100,100.0,25.0
py_tsp_svm,GSE17920,100,100.0,25.0
py_tsp_svm,GSE19804,100,100.0,25.0
py_tsp_svm,GSE25837,100,100.0,25.0
py_tsp_svm,GSE27272,100,100.0,25.0
py_tsp_svm,GSE3365,100,100.0,25.0
py_tsp_svm,GSE6613,100,100.0,25.0
