method_id,family,n_datasets,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,mean_mcc,sd_balanced_accuracy_across_datasets,sd_macro_f1_across_datasets,sd_mcc_across_datasets
svm_linear,R,8,0.7574404359549096,0.7243822825695116,0.7194213364471999,0.4494929108368345,0.1968898596449894,0.2001395026206114,0.3937995380088502
ranger_rf,R,8,0.7930847787939893,0.7208279504207522,0.7103700017869644,0.4652566141475178,0.1903205363241285,0.2088492026202588,0.3784661623306102
glmnet_enet,R,8,0.7876722530867267,0.7083270780861725,0.6720569479092864,0.4225608089140709,0.2221519757173101,0.2585157718492662,0.4412554759459473
xgboost_shallow,R,8,0.7787612017783071,0.7068587213096501,0.6935034015399443,0.428713411508213,0.1968202972863039,0.2158332564325512,0.3981734719951173
py_tsp_rf,python_gene_pair,8,0.7647783141269984,0.6974320637051287,0.6850279805017151,0.399586453763038,0.2108384504118492,0.2250231197535499,0.4263247791906706
pyrrm_knn5,pyrrm,8,0.7531242428387165,0.6934706264366868,0.6801964648599046,0.3850247138863079,0.2098089383418278,0.2175467306839693,0.418792174701297
py_tsp_svm,python_gene_pair,8,0.7306741288346551,0.6848196645030236,0.6817914312411567,0.3728773466330554,0.2160435475634698,0.2187277027790439,0.4349951990783544
py_reos_svm,python_gene_pair,8,0.7308344018949282,0.6847741728215025,0.681868052986145,0.37289605581978,0.2162023678190047,0.2189701046070765,0.4353218517373554
tspdt_bigtsp,R,8,0.7174734119405173,0.6819755174349215,0.6782092559385573,0.3676751489246595,0.1916845199523658,0.1937644787605262,0.3851218682867479
knn_euclidean,R,8,0.7427814753367384,0.6798587108754678,0.6680757179601801,0.3606214309323703,0.2040646670378844,0.2129658056539641,0.4094797773307473
rpart_tree,R,8,0.7185978318899372,0.6767434124827701,0.6736272352783341,0.3619811365300973,0.1841178928178401,0.1879375843033085,0.3736765156277375
py_reos,python_gene_pair,8,0.6692955206915733,0.6760179345851947,0.6531790799666631,0.3589051446135863,0.2231276723022639,0.2375562145350658,0.4366021112246259
switchbox_ktsp,R,8,0.6751780223806539,0.6741042777569868,0.6576385316007658,0.3542557122713061,0.2177714392876679,0.2302258565678927,0.4301487585837472
py_tsp,python_gene_pair,8,0.6633822825901774,0.6693273509643091,0.6453273686506595,0.3395107095476175,0.2122708272618732,0.2275636418947557,0.4193842103148884
switchbox_tsp,R,8,0.6626278112357059,0.668831286244715,0.6444852186998363,0.3386604399157031,0.2118826049543384,0.2270582296118974,0.4182568989838328
rrf_ranktreeensemble,R,8,0.7096079481329481,0.6568951623840555,0.6239361075802573,0.3320370405840971,0.1694654483653342,0.1923206008669865,0.3490154076834329
majority,R,8,0.6158526872211083,0.5,0.3789778336064109,0.0,0.0,0.0386703496705329,0.0
